protocol,strategy_name,strategy_type,base_candidate,cap_label,transaction_cost_mode,n_observations,start_date,end_date,frequency,cumulative_return,annualized_return,annualized_volatility,sharpe,sortino,calmar,max_drawdown,average_turnover,total_transaction_cost,mean_transaction_cost,average_max_weight,average_effective_number_of_assets,mean_cash_weight,cash_above_10_rate,mean_btc_weight,mean_cash_transaction_cost_contribution,mean_btc_transaction_cost_contribution,std_sharpe,worst_max_drawdown,dsr_score,median_aligned_seed_dsr_n25,date_averaged_dsr_n25,dsr_method,n_aligned_seeds,aggregation_method,expected_seed_estimand,seed_dispersion_status,type,dsr_available,sortino_score,calmar_score,drawdown_score,stability_score,discipline_score,robust_score,mandate_bucket,recovery_required,drawdown_multiplier,mandate_aware_score,rank_mandate_aware,rank_robust,rank_sharpe
zero_cash,BuyHold_GLD,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,1.4408633139757354,0.2257082377484229,0.1664043116160493,1.3081884451675567,2.1982624534964055,1.3010381844969388,-0.1734831770796148,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,-0.1734831770796148,0.7460632557929164,,0.7460632557929164,aligned_single_history_n25,1,single_deterministic_aligned_history,,not_observed_neutral_not_zero_in_stability_component,benchmark,True,0.9954003019140825,0.9933648162144073,0.9773228376960634,0.643196851308819,0.8,0.8724901111488644,clean_mandate,0.20989672837708917,0.7901032716229108,0.6893572912773549,1,1,1
zero_cash,rolling_markowitz_long_only_52p,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,1.9134219892756352,0.2761936033774554,0.2245106918365903,1.1988242479757492,2.212123727738206,1.3112690117028711,-0.2106307713462841,0.1038355667511928,0.0081663900117666,3.5817500051608295e-05,0.5909031263913668,1.9620233202532145,0.0,0.0,0.3171396223338405,0.0,1.881298337671752e-05,,-0.2106307713462841,0.7285523154586597,,0.7285523154586597,aligned_single_history_n25,1,single_deterministic_aligned_history,,not_observed_neutral_not_zero_in_stability_component,benchmark,True,1.0,1.0,0.9000007650157259,0.6200002295047178,0.992404664050643,0.8651860655429607,eligible_yellow,0.26683428198172715,0.7331657180182729,0.6343247629632093,2,2,2
zero_cash,trend_spy_cash_12p,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.4326890534269729,0.0854594424902874,0.1074537825814774,0.8174290189188304,1.160329015809752,0.5256181277344917,-0.1625884610537178,0.175438596491228,0.004,1.7543859649122806e-05,1.0,1.0,0.293859649122807,0.293859649122807,0.0,0.0,0.0,,-0.1625884610537178,0.3655268290285512,,0.3655268290285512,aligned_single_history_n25,1,single_deterministic_aligned_history,,not_observed_neutral_not_zero_in_stability_component,benchmark,True,0.650974503581654,0.49046759352744823,1.0,0.6499999999999999,0.6530701754385966,0.5855999769023156,clean_mandate,0.19415598363775047,0.8058440163622496,0.47190223736860254,3,4,4
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,V3_real_macro_vintage_clean_no_dxy,0p70,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.439963079444542,0.08461653495374341,0.12439220287226549,0.7327139951044506,1.0963558653823893,0.5100812883352502,-0.19508257989693986,0.2767384531097496,0.015901387750930564,6.974292873215159e-05,0.6571236875240694,1.9568992412966466,0.2717733138727815,0.5657894736842105,0.0651017165246665,0.0,3.4565123390566e-05,0.3163149002634915,-0.2964720154796764,0.27959115665041356,0.27959115665041356,0.44439110209167193,median_dsr_across_full_oos_seed_histories_n25,10,mean_of_metrics_across_ten_full_oos_seed_histories,True,observed_across_ten_full_oos_seed_histories,td3,True,0.6297457786868338,0.480391205490963,0.9323640556413233,0.5840696247234294,0.708485111417224,0.5395905702200859,clean_mandate,0.2423634711147907,0.7576365288852093,0.40881352664073667,4,8,10
zero_cash,rolling_markowitz_min_variance_52p,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.4122168472146197,0.081902279675345,0.1043954327541812,0.8064203650326056,1.2637392644952323,0.3547726501232396,-0.2308584938745816,0.0378109996137178,0.002253260666266,9.882722220465174e-06,0.4779682729197295,2.647942470859379,0.0,0.0,0.0179498772023264,0.0,2.900652872152003e-06,,-0.2308584938745816,0.3837636031280464,,0.3837636031280464,aligned_single_history_n25,1,single_deterministic_aligned_history,,not_observed_neutral_not_zero_in_stability_component,benchmark,True,0.6852899578930933,0.37966607962535565,0.8578971116737903,0.6073691335021371,1.0,0.567541768543386,eligible_yellow,0.30015087215555514,0.6998491278444449,0.3971936117303825,5,5,5
zero_cash,BuyHold_SPY,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.6497481321827132,0.1209506174024004,0.1681668290824719,0.7634141117043921,1.096043735503628,0.5380491913795269,-0.2247947201487099,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,-0.2247947201487099,0.338263187702817,,0.338263187702817,aligned_single_history_n25,1,single_deterministic_aligned_history,,not_observed_neutral_not_zero_in_stability_component,benchmark,True,0.6296422021194238,0.4985297365267339,0.8705187514328327,0.6111556254298498,0.8,0.5588067192979865,eligible_yellow,0.2899808940824461,0.7100191059175539,0.3967634472166779,6,6,9
zero_cash,defensive_risk_off_12p,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.4349751859959239,0.0858542307792935,0.1423163741026759,0.6507149699585638,0.8468444327843481,0.4558135085018843,-0.1883538534464882,0.2456140350877192,0.0084,3.68421052631579e-05,1.0,1.0,0.1184210526315789,0.1184210526315789,0.0,0.0,0.0,,-0.1883538534464882,0.245632342999914,,0.245632342999914,aligned_single_history_n25,1,single_deterministic_aligned_history,,not_observed_neutral_not_zero_in_stability_component,benchmark,True,0.5469483937628186,0.44519593871706287,0.9463697829547272,0.6339109348864181,0.7407894736842106,0.5145046040120119,clean_mandate,0.23206400257833296,0.7679359974216671,0.3951066062600042,7,11,12
zero_cash,Equal_Weight,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.5136658991736218,0.0991563667059947,0.1302191770174849,0.7913205232039142,1.1963432275469057,0.3945776085810408,-0.2512975002879043,0.0,0.0,0.0,0.2,4.999999999999999,0.2,1.0,0.2,0.0,0.0,,-0.2512975002879043,0.3660421342444993,,0.3660421342444993,aligned_single_history_n25,1,single_deterministic_aligned_history,,not_observed_neutral_not_zero_in_stability_component,benchmark,True,0.6629253890416396,0.4054815107365612,0.8153536745925141,0.5946061023777542,0.5,0.5302576816556425,eligible_red,0.3356439979625254,0.6643560020374746,0.35227987343440254,8,10,7
zero_cash,V4_real_garch_current_cap_0p70,TD3,V4_real_garch_current,0p70,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.23911163741411098,0.047059535641156405,0.10280411044803288,0.5180260605288036,0.7780577058112079,0.36795214187383,-0.1843464354869825,0.4452178812134046,0.024589697471798493,0.00010784955031490568,0.6504030305103979,2.004302828951787,0.37011333210439334,0.7048245614035087,0.07368101486254598,0.0,5.366786304851043e-05,0.3769077157292766,-0.3914256056533859,0.22499305162543423,0.22499305162543423,0.2683364935061234,median_dsr_across_full_oos_seed_histories_n25,10,mean_of_metrics_across_ten_full_oos_seed_histories,True,observed_across_ten_full_oos_seed_histories,td3,True,0.5241223410583183,0.388213614268025,0.954711153879073,0.26118196026908913,0.6475877192982457,0.4516693616265811,clean_mandate,0.22601070295946757,0.7739892970405324,0.3495872517001036,9,14,13
zero_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,TD3,V7_real_macro_vintage_clean_no_dxy_garch,0p80,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.4781943067393334,0.08612999104700117,0.12734486503333614,0.6809663574928227,1.0854099699868025,0.4726479479472003,-0.21139754829846505,0.30827275527058445,0.014696843671449555,6.445984066425243e-05,0.7292414311385291,1.7006975256449153,0.3415460567250154,0.5565789473684211,0.0581269418467252,0.0,2.3974127127622134e-05,0.4008323013377463,-0.30162555315410544,0.21229828557507802,0.21229828557507802,0.5889816031432386,median_dsr_across_full_oos_seed_histories_n25,10,mean_of_metrics_across_ten_full_oos_seed_histories,True,observed_across_ten_full_oos_seed_histories,td3,True,0.626113514205124,0.45611388282839865,0.8984047320990173,0.21317901183473165,0.6618500314447726,0.4693060776497923,eligible_yellow,0.26806605513632537,0.7319339448636746,0.3435010487627105,10,12,11
