protocol,strategy_name,strategy_type,sharpe,calmar,sortino,annualized_return,max_drawdown,average_turnover,mean_transaction_cost,average_effective_number_of_assets,average_max_weight,rank_by_sharpe,rank_by_calmar,rank_by_sortino,rank_by_max_drawdown,rank_by_turnover,rank_by_effective_assets,rank_by_average_max_weight
zero_cash,BuyHold_GLD,benchmark,1.3081884451675567,1.3010381844969388,2.1982624534964055,0.2257082377484229,-0.1734831770796148,0.0,0.0,1.0,1.0,1,2,2,2,1,12,12
zero_cash,rolling_markowitz_long_only_52p,benchmark,1.1988242479757492,1.3112690117028711,2.212123727738206,0.2761936033774554,-0.2106307713462841,0.1038355667511928,3.5817500051608295e-05,1.9620233202532145,0.5909031263913668,2,1,1,6,10,7,6
zero_cash,momentum_winner_12p,benchmark,0.8971611533196885,0.9713956605816546,1.6398602522661376,0.3004846187538317,-0.3093328814892037,0.4561403508771929,0.0001947368421052,1.0,1.0,3,3,3,16,18,12,12
zero_cash,trend_spy_cash_12p,benchmark,0.8174290189188304,0.5256181277344917,1.160329015809752,0.0854594424902874,-0.1625884610537178,0.175438596491228,1.7543859649122806e-05,1.0,1.0,4,5,8,1,11,12,12
zero_cash,rolling_markowitz_min_variance_52p,benchmark,0.8064203650326056,0.3547726501232396,1.2637392644952323,0.081902279675345,-0.2308584938745816,0.0378109996137178,9.882722220465174e-06,2.647942470859379,0.4779682729197295,5,12,4,9,8,5,4
zero_cash,rolling_risk_parity_inverse_vol_12p,benchmark,0.7993464897270386,0.3224996963238565,1.202231112672235,0.0870721448064411,-0.269991400919034,0.065611942559803,1.945431896290477e-05,3.350499299521307,0.3811193362167304,6,13,5,12,9,3,3
zero_cash,Equal_Weight,benchmark,0.7913205232039142,0.3945776085810408,1.1963432275469057,0.0991563667059947,-0.2512975002879043,0.0,0.0,4.999999999999999,0.2,7,10,6,11,1,1,1
zero_cash,Equal_Weight_Risky,benchmark,0.7913205232039137,0.400742544729944,1.1821249668671356,0.1224723954714679,-0.3056136591486704,0.0,0.0,4.0,0.25,8,9,7,15,1,2,2
zero_cash,BuyHold_SPY,benchmark,0.7634141117043921,0.5380491913795269,1.096043735503628,0.1209506174024004,-0.2247947201487099,0.0,0.0,1.0,1.0,9,4,10,8,1,12,12
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,td3,0.7327139951044506,0.5100812883352502,1.0963558653823893,0.08461653495374341,-0.19508257989693986,0.2767384531097496,6.974292873215159e-05,1.9568992412966466,0.6571236875240694,10,6,9,5,13,8,9
zero_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,td3,0.6809663574928227,0.4726479479472003,1.0854099699868025,0.08612999104700117,-0.21139754829846505,0.30827275527058445,6.445984066425243e-05,1.7006975256449153,0.7292414311385291,11,7,11,7,14,10,10
zero_cash,defensive_risk_off_12p,benchmark,0.6507149699585638,0.4558135085018843,0.8468444327843481,0.0858542307792935,-0.1883538534464882,0.2456140350877192,3.68421052631579e-05,1.0,1.0,12,8,12,4,12,12,12
zero_cash,V4_real_garch_current_cap_0p70,td3,0.5180260605288036,0.36795214187383,0.7780577058112079,0.047059535641156405,-0.1843464354869825,0.4452178812134046,0.00010784955031490568,2.004302828951787,0.6504030305103979,13,11,13,3,17,6,8
zero_cash,V5_no_volatility_block_cap_0p50,td3,0.5059126924324209,0.2280510051677962,0.7161811237470675,0.0525765436050555,-0.2736497203961881,0.41952524107793254,0.00011448794658319337,2.8006662863090668,0.4934377478474876,14,15,14,13,16,4,5
zero_cash,risk_adjusted_momentum_winner_12p_12p,benchmark,0.5018355888550975,0.2365100068483016,0.6472036645041498,0.1160294822516032,-0.4905901606354652,0.3596491228070175,0.0001315789473684,1.0,1.0,15,14,15,18,15,12,12
zero_cash,BuyHold_BTC-USD,benchmark,0.4918542301179646,0.2018200052378735,0.3953367308720968,0.1297733389675517,-0.6430152393197859,0.0,0.0,1.0,1.0,16,17,18,19,1,12,12
zero_cash,60_40_SPY_TLT,benchmark,0.3496406498886238,0.1473985162481731,0.4356431213797056,0.0365960183849269,-0.2482794217772905,0.0,0.0,1.9230769230769231,0.5999999999999998,17,18,16,10,1,9,7
zero_cash,V8_ewma_garch_vol_current_cap_uncapped,td3,0.33167020380509826,0.22604162068120903,0.4199520729756645,0.048248478954693676,-0.2825870759872734,0.5303995489340851,0.00016377044909474662,1.31072419329337,0.8773893414866458,18,16,17,14,19,11,11
zero_cash,BuyHold_TLT,benchmark,-0.5489279650114005,-0.2306366139027145,-0.8013945473501016,-0.090453722230371,-0.3921915115720767,0.0,0.0,1.0,1.0,19,19,19,17,1,12,12
bil_cash,BuyHold_GLD,benchmark,1.3474054884786069,1.3389979519584156,2.2927257862918013,0.2322936188088433,-0.1734831770796148,0.0,0.0,1.0,1.0,1,1,1,3,1,12,12
bil_cash,rolling_markowitz_long_only_52p,benchmark,1.2195652401357844,1.3373607560626246,2.2639509476591826,0.2816893030703187,-0.2106307529911757,0.103835527210852,3.581750120549257e-05,1.9620232159854076,0.5909031333470443,2,2,2,6,11,7,5
bil_cash,momentum_winner_12p,benchmark,0.9426637496448051,1.0370090899804274,1.7642539893303617,0.321259470958446,-0.3097942670536373,0.4298245614035088,0.0001947368421052,1.0,1.0,3,3,3,16,19,12,12
bil_cash,trend_spy_cash_12p,benchmark,0.9032336086219156,0.6075481621453481,1.2965089844125814,0.0955478136492284,-0.1572678836058595,0.175438596491228,3.508771929824561e-05,1.0,1.0,4,5,6,2,12,12,12
bil_cash,Equal_Weight,benchmark,0.8767629381289029,0.4446844850564,1.354985270907359,0.1113021997378382,-0.2502947673645993,0.0,0.0,4.999999999999999,0.2,5,9,4,13,1,1,1
bil_cash,rolling_markowitz_min_variance_52p,benchmark,0.8418310211156397,0.370636746968185,1.3324762995380712,0.0855647386178828,-0.2308587567687334,0.037811013321419,9.882730958505297e-06,2.6479422882322448,0.4779684111712217,6,12,5,10,9,4,4
bil_cash,rolling_risk_parity_inverse_vol_12p,benchmark,0.8367550757865162,0.3380800229359376,1.271267206891117,0.0912786749022951,-0.2699913295959265,0.0656118475912953,1.945429642591545e-05,3.3505000715776703,0.3811191436729786,7,13,7,14,10,3,3
bil_cash,Equal_Weight_Risky,benchmark,0.8190831900245825,0.416532743161521,1.2336854179398469,0.1272980758925497,-0.3056136113726518,0.0,0.0,4.0,0.25,8,11,8,15,1,2,2
bil_cash,BuyHold_SPY,benchmark,0.7795225030534743,0.5518324552358324,1.1241206757090594,0.1240489246586979,-0.2247945431293709,0.0,0.0,1.0,1.0,9,6,10,9,1,12,12
bil_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,td3,0.7548847133758281,0.6535773910140862,1.2317551130960722,0.0935975479630169,-0.22371182261577208,0.29206893752315805,8.249549479676468e-05,1.6952182753647418,0.7279863523074546,10,4,9,8,15,11,11
bil_cash,defensive_risk_off_12p,benchmark,0.6999200502562037,0.47746403946483,0.927601739354536,0.0923217913210872,-0.1933586274362503,0.2368421052631578,4.736842105263158e-05,1.0,1.0,11,7,13,4,13,12,12
