protocol,candidate,benchmark,pairwise_statistic_name,pairwise_legacy_source_field,pairwise_formula,pairwise_risk_free_rate_subtracted,pairwise_input_path_role,candidate_estimate,benchmark_estimate,bootstrap_mean_delta,lower_5pct_delta,upper_95pct_delta,probability_candidate_beats,n_aligned_periods,n_bootstrap,block_size,canonical_ranking_statistic_name,canonical_ranking_formula,numerically_comparable_to_canonical_sharpe,wrc_statistic_name,wrc_formula,wrc_uses_cagr_to_volatility_ratio,wrc_p_value,wrc_n_candidates,wrc_block_length,wrc_n_bootstrap,pairwise_source_sha256,wrc_source_sha256
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,trend_spy_cash_12p,cagr_to_annualized_volatility_ratio,sharpe,CAGR / (weekly sample std(ddof=1) * sqrt(52)),False,datewise_average_return_synthetic_path,0.8960081640389981,0.7953134867587125,0.15586196925719,-0.6011003083777723,0.9767249637812804,0.629,228,1000,12,annualized_arithmetic_mean_to_sample_standard_deviation_sharpe,weekly arithmetic mean / sample std(ddof=1) * sqrt(52),False,max_mean_weekly_net_return_differential,sqrt(T) * max_j mean(candidate_j weekly net return - benchmark weekly net return),False,0.7136431784107946,5,8,2000,f5384dc2a1562c3750cc996814db282192b25b90ead0914b6e08a336aff31543,efadd2f9240cac25a012385937d7da87ba766da9eb7265d9e744e1888b7961fc
bil_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,trend_spy_cash_12p,cagr_to_annualized_volatility_ratio,sharpe,CAGR / (weekly sample std(ddof=1) * sqrt(52)),False,datewise_average_return_synthetic_path,0.981070390933429,0.8887039253282846,0.1170321064480149,-0.7171659783381924,0.9963327447686308,0.588,228,1000,12,annualized_arithmetic_mean_to_sample_standard_deviation_sharpe,weekly arithmetic mean / sample std(ddof=1) * sqrt(52),False,max_mean_weekly_net_return_differential,sqrt(T) * max_j mean(candidate_j weekly net return - benchmark weekly net return),False,0.6766616691654173,5,8,2000,c10fb1dbd9ac2a809fcc39b5f8a647906d406819655cf3f96fc8d8dfc9c89d97,94f8e96e926f11804c860dfa500ec8817ff1f52d7676f59304905dfc8877d20e
