protocol,frontier_type,strategy_name,strategy_type,sharpe,annualized_return,calmar,max_drawdown,drawdown_severity,average_turnover,mean_transaction_cost,average_max_weight,average_effective_number_of_assets,objective_columns
bil_cash,full,BuyHold_TLT,benchmark,-0.5283992618658764,-0.0873474111125999,-0.2227162672003445,-0.392191429079702,0.392191429079702,0.0,0.0,1.0,1.0,"sharpe,annualized_return,calmar,drawdown_severity,average_turnover,mean_transaction_cost,average_max_weight,average_effective_number_of_assets"
bil_cash,full,V4_real_garch_current_cap_0p80,td3,0.5796987029534358,0.05744237112990662,0.31621287428421685,-0.2217520382317879,0.2217520382317879,0.3461294784952904,9.882487925850783e-05,0.7186073594008724,1.7235638490320135,"sharpe,annualized_return,calmar,drawdown_severity,average_turnover,mean_transaction_cost,average_max_weight,average_effective_number_of_assets"
bil_cash,full,V5_no_volatility_block_cap_0p70,td3,0.48589112749418356,0.05398910917962425,0.21674606211063127,-0.3115491595663437,0.3115491595663437,0.3345648100143657,9.41474649466452e-05,0.654966061108261,1.9487941368545303,"sharpe,annualized_return,calmar,drawdown_severity,average_turnover,mean_transaction_cost,average_max_weight,average_effective_number_of_assets"
bil_cash,full,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,td3,0.7548847133758281,0.0935975479630169,0.6535773910140862,-0.22371182261577208,0.22371182261577208,0.29206893752315805,8.249549479676468e-05,0.7279863523074546,1.6952182753647418,"sharpe,annualized_return,calmar,drawdown_severity,average_turnover,mean_transaction_cost,average_max_weight,average_effective_number_of_assets"
bil_cash,full,defensive_risk_off_12p,benchmark,0.6999200502562037,0.0923217913210872,0.47746403946483,-0.1933586274362503,0.1933586274362503,0.2368421052631578,4.736842105263158e-05,1.0,1.0,"sharpe,annualized_return,calmar,drawdown_severity,average_turnover,mean_transaction_cost,average_max_weight,average_effective_number_of_assets"
bil_cash,full,rolling_risk_parity_inverse_vol_12p,benchmark,0.8367550757865162,0.0912786749022951,0.3380800229359376,-0.2699913295959265,0.2699913295959265,0.0656118475912953,1.945429642591545e-05,0.3811191436729786,3.3505000715776703,"sharpe,annualized_return,calmar,drawdown_severity,average_turnover,mean_transaction_cost,average_max_weight,average_effective_number_of_assets"
bil_cash,reduced,BuyHold_BTC-USD,benchmark,0.5029295440009841,0.1361823205881858,0.2117870810219775,-0.6430152393197859,0.6430152393197859,0.0,0.0,1.0,1.0,"sharpe,drawdown_severity,average_turnover,average_max_weight,average_effective_number_of_assets"
bil_cash,reduced,BuyHold_SPY,benchmark,0.7795225030534743,0.1240489246586979,0.5518324552358324,-0.2247945431293709,0.2247945431293709,0.0,0.0,1.0,1.0,"sharpe,drawdown_severity,average_turnover,average_max_weight,average_effective_number_of_assets"
bil_cash,reduced,BuyHold_TLT,benchmark,-0.5283992618658764,-0.0873474111125999,-0.2227162672003445,-0.392191429079702,0.392191429079702,0.0,0.0,1.0,1.0,"sharpe,drawdown_severity,average_turnover,average_max_weight,average_effective_number_of_assets"
bil_cash,reduced,Equal_Weight_Risky,benchmark,0.8190831900245825,0.1272980758925497,0.416532743161521,-0.3056136113726518,0.3056136113726518,0.0,0.0,0.25,4.0,"sharpe,drawdown_severity,average_turnover,average_max_weight,average_effective_number_of_assets"
bil_cash,reduced,V4_real_garch_current_cap_0p80,td3,0.5796987029534358,0.05744237112990662,0.31621287428421685,-0.2217520382317879,0.2217520382317879,0.3461294784952904,9.882487925850783e-05,0.7186073594008724,1.7235638490320135,"sharpe,drawdown_severity,average_turnover,average_max_weight,average_effective_number_of_assets"
bil_cash,reduced,V5_no_volatility_block_cap_0p70,td3,0.48589112749418356,0.05398910917962425,0.21674606211063127,-0.3115491595663437,0.3115491595663437,0.3345648100143657,9.41474649466452e-05,0.654966061108261,1.9487941368545303,"sharpe,drawdown_severity,average_turnover,average_max_weight,average_effective_number_of_assets"
bil_cash,reduced,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,td3,0.7548847133758281,0.0935975479630169,0.6535773910140862,-0.22371182261577208,0.22371182261577208,0.29206893752315805,8.249549479676468e-05,0.7279863523074546,1.6952182753647418,"sharpe,drawdown_severity,average_turnover,average_max_weight,average_effective_number_of_assets"
bil_cash,reduced,V8_ewma_garch_vol_current_cap_0p70,td3,0.6544986918410602,0.06444312449802034,0.43663344949819294,-0.2458568228144319,0.2458568228144319,0.34201653227950174,0.00010431158649473843,0.641685471426198,2.0015235185512474,"sharpe,drawdown_severity,average_turnover,average_max_weight,average_effective_number_of_assets"
bil_cash,reduced,defensive_risk_off_12p,benchmark,0.6999200502562037,0.0923217913210872,0.47746403946483,-0.1933586274362503,0.1933586274362503,0.2368421052631578,4.736842105263158e-05,1.0,1.0,"sharpe,drawdown_severity,average_turnover,average_max_weight,average_effective_number_of_assets"
bil_cash,reduced,momentum_winner_12p,benchmark,0.9426637496448051,0.321259470958446,1.0370090899804274,-0.3097942670536373,0.3097942670536373,0.4298245614035088,0.0001947368421052,1.0,1.0,"sharpe,drawdown_severity,average_turnover,average_max_weight,average_effective_number_of_assets"
bil_cash,reduced,rolling_risk_parity_inverse_vol_12p,benchmark,0.8367550757865162,0.0912786749022951,0.3380800229359376,-0.2699913295959265,0.2699913295959265,0.0656118475912953,1.945429642591545e-05,0.3811191436729786,3.3505000715776703,"sharpe,drawdown_severity,average_turnover,average_max_weight,average_effective_number_of_assets"
