profile,strategy_name,strategy_type_old,strategy_group_old,feasible_old,failed_constraints_old,max_drawdown_pass_old,annualized_volatility_pass_old,average_effective_number_of_assets_pass_old,average_turnover_pass_old,max_drawdown_old,max_drawdown_limit_old,annualized_volatility_old,max_annualized_volatility_limit_old,average_max_weight_old,average_effective_number_of_assets_old,min_effective_assets_limit_old,average_turnover_old,max_average_turnover_limit_old,sharpe_old,calmar_old,sortino_old,annualized_return_old,protocol,strategy_type_aligned,strategy_group_aligned,feasible_aligned,failed_constraints_aligned,max_drawdown_pass_aligned,annualized_volatility_pass_aligned,average_effective_number_of_assets_pass_aligned,average_turnover_pass_aligned,max_drawdown_aligned,max_drawdown_limit_aligned,annualized_volatility_aligned,max_annualized_volatility_limit_aligned,average_max_weight_aligned,average_effective_number_of_assets_aligned,min_effective_assets_limit_aligned,average_turnover_aligned,max_average_turnover_limit_aligned,sharpe_aligned,calmar_aligned,sortino_aligned,annualized_return_aligned,feasibility_changed
aggressive,60_40_SPY_TLT,benchmark,,False,max_drawdown,False,True,True,True,-0.2687347853545085,-0.25,0.1114309430873978,0.25,0.6,1.923076923076923,1.5,0.0020236087689713,0.2,0.7707570315393776,0.3083827376091735,1.099804095523805,0.0828731687984369,zero_cash,benchmark,,True,,True,True,True,True,-0.24827942177729057,-0.25,0.12506403956913067,0.25,0.5999999999999998,1.9230769230769234,1.5,0.0,0.2,0.3496406498886238,0.1473985162481731,0.4356431213797056,0.03659601838492699,True
aggressive,BuyHold_BTC-USD,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets,False,False,False,True,-0.8168801545301511,-0.25,0.665765918279443,0.25,1.0,1.0,1.5,0.0026981450252951,0.2,1.0580630375269156,0.7629625355876146,1.5589886900141494,0.6232489539715265,zero_cash,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets,False,False,False,True,-0.6430152393197859,-0.25,0.5131787191095913,0.25,1.0,1.0,1.5,0.0,0.2,0.4918542301179646,0.20182000523787358,0.3953367308720968,0.12977333896755172,False
aggressive,BuyHold_GLD,benchmark,,False,average_effective_number_of_assets,True,True,False,True,-0.1982600613966134,-0.25,0.151432882990567,0.25,1.0,1.0,1.5,0.0026981450252951,0.2,0.8271301262123212,0.6072823571638948,1.2237818435034011,0.1203998374163939,zero_cash,benchmark,,False,average_effective_number_of_assets,True,True,False,True,-0.1734831770796148,-0.25,0.1664043116160493,0.25,1.0,1.0,1.5,0.0,0.2,1.3081884451675567,1.3010381844969388,2.1982624534964055,0.22570823774842297,False
aggressive,BuyHold_SPY,benchmark,,False,max_drawdown;average_effective_number_of_assets,False,True,False,True,-0.3182896225780541,-0.25,0.1670887326203726,0.25,1.0,1.0,1.5,0.0026981450252951,0.2,0.855767991611123,0.4317963632394241,1.1940536411664493,0.1374363014860526,zero_cash,benchmark,,False,average_effective_number_of_assets,True,True,False,True,-0.22479472014870994,-0.25,0.16816682908247196,0.25,1.0,1.0,1.5,0.0,0.2,0.7634141117043921,0.5380491913795269,1.096043735503628,0.12095061740240043,False
aggressive,BuyHold_TLT,benchmark,,False,max_drawdown;average_effective_number_of_assets,False,True,False,True,-0.4782676913732994,-0.25,0.1404057451829499,0.25,1.0,1.0,1.5,0.0026981450252951,0.2,0.0015251202375684,-0.0201091164999358,-0.0941138793245733,-0.009617540723981,zero_cash,benchmark,,False,max_drawdown;average_effective_number_of_assets,False,True,False,True,-0.39219151157207677,-0.25,0.1516641905461336,0.25,1.0,1.0,1.5,0.0,0.2,-0.5489279650114005,-0.23063661390271453,-0.8013945473501016,-0.09045372223037107,False
aggressive,Equal_Weight,benchmark,,False,max_drawdown,False,True,True,True,-0.3043662500768334,-0.25,0.152744549564215,0.25,0.1999999999999999,4.999999999999999,1.5,0.0,0.2,1.2741230530453893,0.6584389899401593,2.133417577222726,0.2004066062724641,zero_cash,benchmark,,False,max_drawdown,False,True,True,True,-0.2512975002879043,-0.25,0.13021917701748498,0.25,0.2,4.999999999999999,1.5,0.0,0.2,0.7913205232039142,0.3945776085810408,1.1963432275469057,0.0991563667059947,False
aggressive,Equal_Weight_Risky,benchmark,,False,max_drawdown,False,True,True,True,-0.3672480612754663,-0.25,0.1909311051580119,0.25,0.25,4.0,1.5,0.0006745362563237,0.2,1.274083520362564,0.6856804105313767,2.14453727387035,0.2518148014222139,zero_cash,benchmark,,False,max_drawdown,False,True,True,True,-0.30561365914867045,-0.25,0.16277397127185625,0.25,0.25,4.0,1.5,0.0,0.2,0.7913205232039137,0.40074254472994403,1.1821249668671356,0.12247239547146793,False
aggressive,V3_real_macro_vintage_clean_no_dxy_cap_0p70,td3,,False,average_turnover,True,True,True,False,-0.104001577768405,-0.25,0.1143426519290021,0.25,0.6579422224377555,1.9532801685062513,1.5,0.2703728895192057,0.2,0.9233923384992592,2.1550268982517764,2.1094083941647757,0.0868668949379369,zero_cash,td3,,False,average_turnover,True,True,True,False,-0.17695494229721365,-0.25,0.09769877123762447,0.25,0.6571236875240694,1.9568992412966464,1.5,0.2767384531097496,0.2,0.9083162623487628,0.4946959689798298,1.3729643114658652,0.08753889664548997,False
aggressive,V4_real_garch_current_cap_0p70,td3,,False,average_turnover,True,True,True,False,-0.0952055697309883,-0.25,0.0967326839331811,0.25,0.6493073259324007,2.007250630839456,1.5,0.4456788756784925,0.2,0.7256884425062446,2.173861639787358,1.954318867950466,0.0545916670640039,zero_cash,td3,,False,average_turnover,True,True,True,False,-0.17191822842742943,-0.25,0.07594821060106333,0.25,0.650403030510398,2.004302828951787,1.5,0.4452178812134046,0.2,0.6653900842299352,0.28382659921086417,0.9654725393935006,0.04879496611691381,False
aggressive,V5_no_volatility_block_cap_0p50,td3,,False,average_turnover,True,True,True,False,-0.1206362879433997,-0.25,0.1156123336805923,0.25,0.4935448022153481,2.809332442509802,1.5,0.419475576098095,0.2,0.5686403910199787,2.338366384568482,1.822275354827628,0.0667285458250577,zero_cash,td3,,False,max_drawdown;average_turnover,False,True,True,False,-0.25374326668702707,-0.25,0.09890172574955956,0.25,0.4934377478474876,2.800666286309067,1.5,0.4195252410779325,0.2,0.5904504654848056,0.21658699846892637,0.8292302310022852,0.05495749251344351,False
