protocol,profile,strategy_name,strategy_type,strategy_group,base_candidate,feature_family,constraint_status,robust_score,original_mandate_aware_score,profile_score,profile_multiplier,profile_eligible,failed_constraints,annualized_return,annualized_volatility,sharpe,max_drawdown,average_turnover,average_effective_number_of_assets,average_max_weight,max_drawdown_limit,max_annualized_volatility_limit,min_effective_assets,max_average_turnover_limit,drawdown_pass,volatility_pass,effective_assets_pass,turnover_pass,drawdown_multiplier,volatility_multiplier,effective_assets_multiplier,turnover_multiplier,profile_rank,profile_eligible_rank
zero_cash,aggressive,rolling_markowitz_long_only_52p,benchmark,,,,,0.9001860655429608,0.6599855630938487,0.9001860655429608,1.0,True,,0.27619360337745547,0.2245106918365903,1.1988242479757492,-0.21063077134628416,0.10383556675119289,1.9620233202532145,0.5909031263913668,-0.25,0.25,1.5,0.2,True,True,True,True,1.0,1.0,1.0,1.0,1,1.0
zero_cash,aggressive,BuyHold_GLD,benchmark,,,,,0.9074901111488645,0.7170109057841568,0.6049934074325762,0.6666666666666666,False,effective_assets,0.22570823774842297,0.1664043116160493,1.3081884451675567,-0.1734831770796148,0.0,1.0,1.0,-0.25,0.25,1.5,0.2,True,True,False,True,1.0,1.0,0.6666666666666666,1.0,2,
zero_cash,aggressive,rolling_markowitz_min_variance_52p,benchmark,,,,,0.602541768543386,0.42168833120493804,0.602541768543386,1.0,True,,0.08190227967534502,0.10439543275418126,0.8064203650326056,-0.23085849387458168,0.037810999613717804,2.647942470859379,0.47796827291972954,-0.25,0.25,1.5,0.2,True,True,True,True,1.0,1.0,1.0,1.0,3,2.0
zero_cash,aggressive,Equal_Weight,benchmark,,,,,0.5652576816556425,0.3755323335057142,0.5623391408669436,0.9948367958836924,False,drawdown,0.0991563667059947,0.13021917701748498,0.7913205232039142,-0.2512975002879043,0.0,4.999999999999999,0.2,-0.25,0.25,1.5,0.2,False,True,True,True,0.9948367958836924,1.0,1.0,1.0,4,
zero_cash,aggressive,rolling_risk_parity_inverse_vol_12p,benchmark,,,,,0.5750337680629098,0.3623593244871615,0.5324556320178443,0.9259554161688685,False,drawdown,0.0870721448064411,0.11238619088106326,0.7993464897270386,-0.26999140091903406,0.06561194255980307,3.3504992995213074,0.38111933621673044,-0.25,0.25,1.5,0.2,False,True,True,True,0.9259554161688685,1.0,1.0,1.0,5,
zero_cash,aggressive,Equal_Weight_Risky,benchmark,,,,,0.5697632357178978,0.0,0.4660812914130318,0.8180262645865042,False,drawdown,0.12247239547146793,0.16277397127185625,0.7913205232039137,-0.30561365914867045,0.0,4.0,0.25,-0.25,0.25,1.5,0.2,False,True,True,True,0.8180262645865042,1.0,1.0,1.0,6,
zero_cash,aggressive,60_40_SPY_TLT,benchmark,,,,,0.4291338837471878,0.2873988885795697,0.4291338837471878,1.0,True,,0.03659601838492699,0.12506403956913067,0.3496406498886238,-0.24827942177729057,0.0,1.9230769230769234,0.5999999999999998,-0.25,0.25,1.5,0.2,True,True,True,True,1.0,1.0,1.0,1.0,7,3.0
zero_cash,aggressive,trend_spy_cash_12p,benchmark,,,,,0.6205999769023157,0.5001067779412814,0.4137333179348771,0.6666666666666666,False,effective_assets,0.08545944249028747,0.10745378258147749,0.8174290189188304,-0.16258846105371783,0.17543859649122806,1.0,1.0,-0.25,0.25,1.5,0.2,True,True,False,True,1.0,1.0,0.6666666666666666,1.0,8,
zero_cash,aggressive,BuyHold_SPY,benchmark,,,,,0.5938067192979866,0.42161411592379233,0.3958711461986577,0.6666666666666666,False,effective_assets,0.12095061740240043,0.16816682908247196,0.7634141117043921,-0.22479472014870994,0.0,1.0,1.0,-0.25,0.25,1.5,0.2,True,True,False,True,1.0,1.0,0.6666666666666666,1.0,9,
zero_cash,aggressive,V3_real_macro_vintage_clean_no_dxy_cap_0p70,td3,,V3_real_macro_vintage_clean_no_dxy,,,0.5287499607752029,0.4150685554584873,0.3821297364595082,0.7227040469171212,False,turnover,0.08753889664548997,0.09769877123762447,0.9083162623487628,-0.17695494229721365,0.2767384531097496,1.9568992412966464,0.6571236875240694,-0.25,0.25,1.5,0.2,True,True,True,False,1.0,1.0,1.0,0.7227040469171212,10,
zero_cash,aggressive,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,td3,,V7_real_macro_vintage_clean_no_dxy_garch,,,0.5204788152276412,0.41524689843362494,0.3376742227971422,0.6487761132976259,False,turnover,0.08976748249339628,0.08429722705585517,1.062484720081153,-0.16817981761958,0.3082727552705845,1.700697525644915,0.7292414311385291,-0.25,0.25,1.5,0.2,True,True,True,False,1.0,1.0,1.0,0.6487761132976259,11,
