protocol,profile,strategy_name,strategy_type,strategy_group,feasible,failed_constraints,max_drawdown_pass,annualized_volatility_pass,average_effective_number_of_assets_pass,average_turnover_pass,max_drawdown,max_drawdown_limit,annualized_volatility,max_annualized_volatility_limit,average_max_weight,average_effective_number_of_assets,min_effective_assets_limit,average_turnover,max_average_turnover_limit,sharpe,calmar,sortino,annualized_return
bil_cash,conservative,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,td3,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets;average_turnover,False,False,False,False,-0.16619976476523235,-0.1,0.10014368837105105,0.1,0.7279863523074549,1.6952182753647418,3.0,0.29206893752315805,0.05,0.9865013125328427,0.5911440827758333,1.5125425270219923,0.09824800749970253
bil_cash,conservative,rolling_markowitz_min_variance_52p,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets,False,False,False,True,-0.23085875676873346,-0.1,0.10397243489326992,0.1,0.4779684111712217,2.6479422882322448,3.0,0.03781101332141901,0.05,0.8418310211156397,0.370636746968185,1.3324762995380712,0.08556473861788283
bil_cash,conservative,defensive_risk_off_12p,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets;average_turnover,False,False,False,False,-0.19335862743625032,-0.1,0.14042468132399683,0.1,1.0,1.0,3.0,0.23684210526315788,0.05,0.6999200502562037,0.47746403946483007,0.927601739354536,0.0923217913210872
bil_cash,conservative,BuyHold_SPY,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets,False,False,False,True,-0.22479454312937097,-0.1,0.16826161804606957,0.1,1.0,1.0,3.0,0.0,0.05,0.7795225030534743,0.5518324552358324,1.1241206757090594,0.12404892465869799
bil_cash,conservative,Equal_Weight,benchmark,,False,max_drawdown;annualized_volatility,False,False,True,True,-0.2502947673645993,-0.1,0.1300632895424597,0.1,0.2,4.999999999999999,3.0,0.0,0.05,0.8767629381289029,0.4446844850564,1.354985270907359,0.11130219973783828
bil_cash,conservative,risk_adjusted_momentum_winner_12p_12p,benchmark,,False,average_effective_number_of_assets,True,True,False,True,-0.09033359468595537,-0.1,0.04658992658619624,0.1,1.0,1.0,3.0,0.03508771929824561,0.05,0.3643147207623331,0.1771422293434176,0.4128191554705355,0.016001894347274837
bil_cash,conservative,V3_real_macro_vintage_clean_no_dxy_cap_0p70,td3,,False,max_drawdown;average_effective_number_of_assets;average_turnover,False,True,False,False,-0.18667438378258905,-0.1,0.08859914508206367,0.1,0.6489820179189589,1.9679669826779054,3.0,0.24186329432606518,0.05,0.8117810891720456,0.376772289790757,1.2092382406637714,0.07033373502304463
bil_cash,conservative,rolling_risk_parity_inverse_vol_12p,benchmark,,False,max_drawdown;annualized_volatility;average_turnover,False,False,True,False,-0.26999132959592653,-0.1,0.11192283451072436,0.1,0.38111914367297867,3.3505000715776703,3.0,0.06561184759129535,0.05,0.8367550757865162,0.3380800229359376,1.271267206891117,0.09127867490229513
bil_cash,conservative,V4_real_garch_current_cap_0p80,td3,,False,max_drawdown;average_effective_number_of_assets;average_turnover,False,True,False,False,-0.19212227639232726,-0.1,0.09232252023717893,0.1,0.7186073594008724,1.7235638490320135,3.0,0.3461294784952904,0.05,0.6789487281868858,0.31311676997108767,1.0148073918730194,0.06015670662345807
bil_cash,conservative,V8_ewma_garch_vol_current_cap_0p70,td3,,False,max_drawdown;average_effective_number_of_assets;average_turnover,False,True,False,False,-0.18633873424602865,-0.1,0.09220441529547799,0.1,0.6416854714261979,2.0015235185512474,3.0,0.34201653227950185,0.05,0.7481593870288953,0.3587159309500794,1.0685898671856306,0.06684267252712361
bil_cash,conservative,60_40_SPY_TLT,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets,False,False,False,True,-0.24827935301347304,-0.1,0.12496100815108666,0.1,0.5999999999999998,1.9230769230769234,3.0,0.0,0.05,0.3739768167772648,0.160006947172636,0.4736713406648031,0.039726421321683025
bil_cash,conservative,V5_no_volatility_block_cap_0p70,td3,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets;average_turnover,False,False,False,False,-0.28878449078836355,-0.1,0.10275918216785676,0.1,0.6549660611082608,1.9487941368545303,3.0,0.33456481001436567,0.05,0.5862755863272554,0.19548713297412462,0.7554643637928475,0.05645365215160969
bil_cash,conservative,momentum_winner_12p,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets;average_turnover,False,False,False,False,-0.30979426705363733,-0.1,0.3605680539994521,0.1,1.0,1.0,3.0,0.4298245614035088,0.05,0.9426637496448051,1.0370090899804274,1.7642539893303615,0.321259470958446
bil_cash,conservative,Equal_Weight_Risky,benchmark,,False,max_drawdown;annualized_volatility,False,False,True,True,-0.30561361137265186,-0.1,0.1624407599572301,0.1,0.25,4.0,3.0,0.0,0.05,0.8190831900245825,0.41653274316152106,1.2336854179398467,0.1272980758925497
