protocol,strategy_name,strategy_type,base_candidate,cap_label,transaction_cost_mode,n_observations,start_date,end_date,frequency,cumulative_return,annualized_return,annualized_volatility,sharpe,sortino,calmar,max_drawdown,average_turnover,total_transaction_cost,mean_transaction_cost,average_max_weight,average_effective_number_of_assets,mean_cash_weight,cash_above_10_rate,mean_btc_weight,mean_cash_transaction_cost_contribution,mean_btc_transaction_cost_contribution,std_sharpe,worst_max_drawdown,dsr_score,median_aligned_seed_dsr_n25,date_averaged_dsr_n25,dsr_method,n_aligned_seeds,type,dsr_available,sortino_score,calmar_score,drawdown_score,stability_score,discipline_score,robust_score,mandate_bucket,recovery_required,drawdown_multiplier,mandate_aware_score,rank_mandate_aware,rank_robust,rank_sharpe
zero_cash,BuyHold_GLD,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,1.4408633139757354,0.22570823774842297,0.1664043116160493,1.3081884451675567,2.1982624534964055,1.3010381844969388,-0.1734831770796148,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1734831770796148,0.7460632557929164,,0.7460632557929164,aligned_single_history_n25,1,benchmark,True,0.9954003019140825,0.9933648162144073,0.9773228376960634,0.993196851308819,0.8,0.9074901111488645,clean_mandate,0.20989672837708917,0.7901032716229108,0.7170109057841568,1,1,1
zero_cash,rolling_markowitz_long_only_52p,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,1.9134219892756352,0.27619360337745547,0.2245106918365903,1.1988242479757492,2.2121237277382066,1.3112690117028711,-0.21063077134628416,0.10383556675119289,0.00816639001176669,3.5817500051608295e-05,0.5909031263913668,1.9620233202532145,0.0,0.0,0.3171396223338405,0.0,1.8812983376717518e-05,0.0,-0.21063077134628416,0.7285523154586597,,0.7285523154586597,aligned_single_history_n25,1,benchmark,True,1.0,1.0,0.9000007650157258,0.9700002295047176,0.992404664050643,0.9001860655429608,eligible_yellow,0.26683428198172726,0.7331657180182727,0.6599855630938487,2,2,2
zero_cash,trend_spy_cash_12p,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.43268905342697295,0.08545944249028747,0.10745378258147749,0.8174290189188304,1.1603290158097521,0.5256181277344917,-0.16258846105371783,0.17543859649122806,0.004,1.7543859649122806e-05,1.0,1.0,0.29385964912280704,0.29385964912280704,0.0,0.0,0.0,0.0,-0.16258846105371783,0.36552682902855127,,0.36552682902855127,aligned_single_history_n25,1,benchmark,True,0.6509745035816541,0.49046759352744823,1.0,1.0,0.6530701754385965,0.6205999769023157,clean_mandate,0.1941559836377505,0.8058440163622496,0.5001067779412814,3,4,6
zero_cash,defensive_risk_off_12p,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.4349751859959239,0.08585423077929355,0.14231637410267597,0.6507149699585638,0.8468444327843481,0.45581350850188435,-0.18835385344648825,0.24561403508771928,0.008400000000000001,3.68421052631579e-05,1.0,1.0,0.11842105263157894,0.11842105263157894,0.0,0.0,0.0,0.0,-0.18835385344648825,0.245632342999914,,0.245632342999914,aligned_single_history_n25,1,benchmark,True,0.5469483937628186,0.4451959387170629,0.9463697829547271,0.9839109348864181,0.7407894736842104,0.549504604012012,clean_mandate,0.23206400257833307,0.767935997421667,0.42198436616976254,4,10,13
zero_cash,rolling_markowitz_min_variance_52p,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.4122168472146197,0.08190227967534502,0.10439543275418126,0.8064203650326056,1.2637392644952323,0.3547726501232396,-0.23085849387458168,0.037810999613717804,0.0022532606662660597,9.882722220465174e-06,0.47796827291972954,2.647942470859379,0.0,0.0,0.017949877202326457,0.0,2.900652872152003e-06,0.0,-0.23085849387458168,0.38376360312804647,,0.38376360312804647,aligned_single_history_n25,1,benchmark,True,0.6852899578930933,0.3796660796253557,0.8578971116737901,0.957369133502137,1.0,0.602541768543386,eligible_yellow,0.3001508721555553,0.6998491278444448,0.42168833120493804,5,5,7
zero_cash,BuyHold_SPY,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.6497481321827132,0.12095061740240043,0.16816682908247196,0.7634141117043921,1.096043735503628,0.5380491913795269,-0.22479472014870994,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22479472014870994,0.33826318770281705,,0.33826318770281705,aligned_single_history_n25,1,benchmark,True,0.6296422021194238,0.4985297365267339,0.8705187514328327,0.9611556254298498,0.8,0.5938067192979866,eligible_yellow,0.2899808940824461,0.7100191059175539,0.42161411592379233,6,6,11
zero_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,TD3,V7_real_macro_vintage_clean_no_dxy_garch,0p80,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.4577886030475864,0.08976748249339628,0.08429722705585517,1.062484720081153,1.695784358447897,0.5337589477974631,-0.16817981761958,0.3082727552705845,0.014696843671449555,6.445984066425243e-05,0.7292414311385291,1.700697525644915,0.3415460567250154,0.9868421052631579,0.058126941846725205,0.0,2.3974127127622134e-05,0.4008323013377463,-0.30162555315410544,0.21229828557507802,0.21229828557507802,0.5889816031432386,median_aligned_seed_history_n25,10,td3,True,0.8286589553616766,0.4957473071025084,0.9883616883595826,0.21317901183473165,0.44671845249740405,0.5204788152276412,clean_mandate,0.20218290104274675,0.7978170989572533,0.41524689843362494,7,12,3
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,V3_real_macro_vintage_clean_no_dxy,0p70,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.44476238271256086,0.08753889664548997,0.09769877123762447,0.9083162623487628,1.3729643114658652,0.4946959689798298,-0.17695494229721365,0.2767384531097496,0.01590138775093056,6.974292873215158e-05,0.6571236875240694,1.9568992412966464,0.2717733138727814,1.0,0.0651017165246665,0.0,3.456512339056599e-05,0.3163149002634915,-0.2964720154796764,0.27959115665041356,0.27959115665041356,0.44439110209167193,median_aligned_seed_history_n25,10,td3,True,0.7215349834745068,0.4704130854945606,0.9700964186564567,0.3639954477483033,0.4913798482593293,0.5287499607752029,clean_mandate,0.21500030969278316,0.7849996903072168,0.4150685554584873,8,11,4
zero_cash,Equal_Weight,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.5136658991736218,0.0991563667059947,0.13021917701748498,0.7913205232039142,1.1963432275469057,0.3945776085810408,-0.2512975002879043,0.0,0.0,0.0,0.2,4.999999999999999,0.2,1.0,0.2,0.0,0.0,0.0,-0.2512975002879043,0.3660421342444993,,0.3660421342444993,aligned_single_history_n25,1,benchmark,True,0.6629253890416396,0.4054815107365612,0.8153536745925141,0.9446061023777541,0.5,0.5652576816556425,eligible_red,0.3356439979625254,0.6643560020374746,0.3755323335057142,9,9,9
zero_cash,rolling_risk_parity_inverse_vol_12p,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.44204560735411746,0.0870721448064411,0.11238619088106326,0.7993464897270386,1.202231112672235,0.32249969632385656,-0.26999140091903406,0.06561194255980307,0.004435584723542288,1.945431896290477e-05,0.38111933621673044,3.3504992995213074,0.0,0.0,0.09470357086415249,0.0,7.91491306368035e-06,0.0,-0.26999140091903406,0.3685038203948592,,0.3685038203948592,aligned_single_history_n25,1,benchmark,True,0.6648792133054586,0.3587355160010691,0.7764426449063695,0.9329327934719108,1.0,0.5750337680629098,eligible_red,0.3698468775010814,0.6301531224989185,0.3623593244871615,10,7,8
