protocol,strategy_name,strategy_type,sharpe,calmar,sortino,annualized_return,max_drawdown,average_turnover,mean_transaction_cost,average_effective_number_of_assets,average_max_weight,rank_by_sharpe,rank_by_calmar,rank_by_sortino,rank_by_max_drawdown,rank_by_turnover,rank_by_effective_assets,rank_by_average_max_weight
zero_cash,BuyHold_GLD,benchmark,1.3081884451675567,1.3010381844969388,2.1982624534964055,0.22570823774842297,-0.1734831770796148,0.0,0.0,1.0,1.0,1,2,2,4,1,12,12
zero_cash,rolling_markowitz_long_only_52p,benchmark,1.1988242479757492,1.3112690117028711,2.2121237277382066,0.27619360337745547,-0.21063077134628416,0.10383556675119289,3.5817500051608295e-05,1.9620233202532145,0.5909031263913668,2,1,1,8,10,7,6
zero_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,td3,1.062484720081153,0.5337589477974631,1.695784358447897,0.08976748249339628,-0.16817981761958,0.3082727552705845,6.445984066425243e-05,1.700697525644915,0.7292414311385291,3,5,3,2,14,10,10
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,td3,0.9083162623487628,0.4946959689798298,1.3729643114658652,0.08753889664548997,-0.17695494229721365,0.2767384531097496,6.974292873215158e-05,1.9568992412966464,0.6571236875240694,4,7,5,5,13,8,9
zero_cash,momentum_winner_12p,benchmark,0.8971611533196885,0.9713956605816546,1.6398602522661376,0.3004846187538317,-0.3093328814892037,0.45614035087719296,0.00019473684210526317,1.0,1.0,5,3,4,16,18,12,12
zero_cash,trend_spy_cash_12p,benchmark,0.8174290189188304,0.5256181277344917,1.1603290158097521,0.08545944249028747,-0.16258846105371783,0.17543859649122806,1.7543859649122806e-05,1.0,1.0,6,6,10,1,11,12,12
zero_cash,rolling_markowitz_min_variance_52p,benchmark,0.8064203650326056,0.3547726501232396,1.2637392644952323,0.08190227967534502,-0.23085849387458168,0.037810999613717804,9.882722220465174e-06,2.647942470859379,0.47796827291972954,7,11,6,10,8,5,4
zero_cash,rolling_risk_parity_inverse_vol_12p,benchmark,0.7993464897270386,0.32249969632385656,1.202231112672235,0.0870721448064411,-0.26999140091903406,0.06561194255980307,1.945431896290477e-05,3.3504992995213074,0.38111933621673044,8,12,7,14,9,3,3
zero_cash,Equal_Weight,benchmark,0.7913205232039142,0.3945776085810408,1.1963432275469057,0.0991563667059947,-0.2512975002879043,0.0,0.0,4.999999999999999,0.2,9,10,8,12,1,1,1
zero_cash,Equal_Weight_Risky,benchmark,0.7913205232039137,0.40074254472994403,1.1821249668671356,0.12247239547146793,-0.30561365914867045,0.0,0.0,4.0,0.25,10,9,9,15,1,2,2
