protocol,strategy_name,strategy_type,dsr_score,sortino_score,calmar_score,drawdown_score,stability_score,discipline_score,robust_score,mandate_aware_score,rank_robust,rank_mandate_aware
zero_cash,BuyHold_GLD,benchmark,0.7460632557929164,0.9954003019140825,0.9933648162144073,0.9773228376960634,0.993196851308819,0.8,0.9074901111488645,0.7170109057841568,1,1
zero_cash,rolling_markowitz_long_only_52p,benchmark,0.7285523154586597,1.0,1.0,0.9000007650157258,0.9700002295047176,0.992404664050643,0.9001860655429608,0.6599855630938487,2,2
zero_cash,trend_spy_cash_12p,benchmark,0.36552682902855127,0.6509745035816541,0.49046759352744823,1.0,1.0,0.6530701754385965,0.6205999769023157,0.5001067779412814,4,3
zero_cash,defensive_risk_off_12p,benchmark,0.245632342999914,0.5469483937628186,0.4451959387170629,0.9463697829547271,0.9839109348864181,0.7407894736842104,0.549504604012012,0.42198436616976254,10,4
zero_cash,rolling_markowitz_min_variance_52p,benchmark,0.38376360312804647,0.6852899578930933,0.3796660796253557,0.8578971116737901,0.957369133502137,1.0,0.602541768543386,0.42168833120493804,5,5
zero_cash,BuyHold_SPY,benchmark,0.33826318770281705,0.6296422021194238,0.4985297365267339,0.8705187514328327,0.9611556254298498,0.8,0.5938067192979866,0.42161411592379233,6,6
zero_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,TD3,0.21229828557507802,0.8286589553616766,0.4957473071025084,0.9883616883595826,0.21317901183473165,0.44671845249740405,0.5204788152276412,0.41524689843362494,12,7
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,0.27959115665041356,0.7215349834745068,0.4704130854945606,0.9700964186564567,0.3639954477483033,0.4913798482593293,0.5287499607752029,0.4150685554584873,11,8
zero_cash,Equal_Weight,benchmark,0.3660421342444993,0.6629253890416396,0.4054815107365612,0.8153536745925141,0.9446061023777541,0.5,0.5652576816556425,0.3755323335057142,9,9
zero_cash,rolling_risk_parity_inverse_vol_12p,benchmark,0.3685038203948592,0.6648792133054586,0.3587355160010691,0.7764426449063695,0.9329327934719108,1.0,0.5750337680629098,0.3623593244871615,7,10
zero_cash,V4_real_garch_current_cap_0p70,TD3,0.22499305162543423,0.5863137122312045,0.3336541514410277,0.9805802511521441,0.19888492533507532,0.5,0.4434670184284059,0.3513987387107859,13,11
zero_cash,60_40_SPY_TLT,benchmark,0.10291550980732272,0.4104961562556169,0.2451739742517729,0.821635752626354,0.9464907257879062,0.9846153846153847,0.4291338837471878,0.2873988885795697,14,12
