protocol,candidate,benchmark,estimator,candidate_estimate,benchmark_estimate,bootstrap_mean_delta,lower_5pct_delta,upper_95pct_delta,probability_candidate_beats,n_aligned_periods,n_bootstrap,block_size,wrc_p_value,wrc_n_candidates,wrc_block_length,wrc_n_bootstrap,pairwise_source_sha256,wrc_source_sha256
zero_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,trend_spy_cash_12p,CAGR divided by annualized volatility (legacy field name: sharpe),1.0648924718949122,0.7953134867587125,0.233694781575895,-0.5761128811368866,1.056486984264795,0.684,228,1000,12,0.7136431784107946,5,8,2000,f5384dc2a1562c3750cc996814db282192b25b90ead0914b6e08a336aff31543,efadd2f9240cac25a012385937d7da87ba766da9eb7265d9e744e1888b7961fc
bil_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,trend_spy_cash_12p,CAGR divided by annualized volatility (legacy field name: sharpe),0.981070390933429,0.8887039253282846,0.1170321064480149,-0.7171659783381924,0.9963327447686308,0.588,228,1000,12,0.6766616691654173,5,8,2000,c10fb1dbd9ac2a809fcc39b5f8a647906d406819655cf3f96fc8d8dfc9c89d97,94f8e96e926f11804c860dfa500ec8817ff1f52d7676f59304905dfc8877d20e
