protocol,strategy_name,strategy_type,seed,date,portfolio_return,financial_net_return,turnover,transaction_cost,weight_SPY,weight_TLT,weight_GLD,weight_BTC-USD,weight_CASH,asset_turnover_SPY,asset_turnover_TLT,asset_turnover_GLD,asset_turnover_BTC-USD,asset_turnover_CASH,asset_transaction_cost_contribution_SPY,asset_transaction_cost_contribution_TLT,asset_transaction_cost_contribution_GLD,asset_transaction_cost_contribution_BTC-USD,asset_transaction_cost_contribution_CASH,diagnostic_max_weight,diagnostic_effective_assets,portfolio_value,drawdown,transaction_cost_mode,gross_return,net_return
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,7,2022-01-07,-0.0165970996445207,-0.0169439039541171,1.0,0.0003468043095964,0.6999999999999998,0.0136465572489407,0.0841029255412693,0.0136457938455323,0.1886047233642575,0.4999999999999998,0.1863534427510592,0.1158970744587306,0.1863542061544676,0.0113952766357424,9.999999999999998e-05,3.727068855021185e-05,2.317941489174613e-05,0.0001863542061544,0.0,0.6999999999999998,1.8761110799746323,98305.6096045883,0.0,asset_specific,-0.0165970996445207,-0.0169439039541171
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,7,2022-01-14,-0.0006434082917542,-0.0006514221765848,0.0320577319247879,8.013884830596992e-06,0.7,0.0176533124574421,0.0680740595788754,0.0176525544419502,0.1966200735217322,1.1102230246251563e-16,0.0040067552085013,0.0160288659623939,0.0040067605964179,0.0080153501574746,2.2204460492503132e-20,8.013510417002705e-07,3.2057731924787892e-06,4.00676059641791e-06,0.0,0.7,1.8729510511861016,98241.57115040917,-0.0006514221765848704,asset_specific,-0.0006434082917542,-0.0006514221765848
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,7,2022-01-21,-0.0458782054158197,-0.0459094526452397,0.1080080597375423,3.124722941996718e-05,0.7,0.0432140120012306,0.0709593605960919,0.0432105837497164,0.142616043652961,0.0,0.0255606995437885,0.0028853010172165,0.0255580293077661,0.0540040298687711,0.0,5.1121399087577e-06,5.770602034433136e-07,2.555802930776617e-05,0.0,0.7,1.9263770583528124,93731.35439188553,-0.04653096838625648,asset_specific,-0.0458782054158197,-0.0459094526452397
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,7,2022-01-28,0.0050900995070323,0.0050126643159814,0.4286672411609853,7.743519105089472e-05,0.6202440980071504,1.1331967694283755e-06,0.0228051044814052,8.122119803517328e-11,0.3569496642334537,0.0797559019928495,0.0432128788044611,0.0481542561146867,0.0432105836684952,0.2143336205804926,1.595118039856991e-05,8.64257576089224e-06,9.630851222937346e-06,4.321058366849522e-05,0.0,0.6202440980071504,1.950702331713133,94201.19820733434,-0.04175154819509297,asset_specific,0.0050900995070323,0.0050126643159814
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,7,2022-02-04,0.0137411076684564,0.0136759926476106,0.4230059028236017,6.511502084579352e-05,0.7,0.0285195137075385,0.0975157351852957,0.0285180382855128,0.1454467128216528,0.0797559019928495,0.0285183805107691,0.0747106307038904,0.0285180382042916,0.2115029514118008,1.595118039856991e-05,5.703676102153827e-06,1.4942126140778095e-05,2.8518038204291683e-05,0.0,0.7,1.9146425322489848,95489.49310141396,-0.028646549413624767,asset_specific,0.0137411076684564,0.0136759926476106
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,7,2022-02-11,-0.0098429402585088,-0.0098673125490744,0.0678043189443895,2.4372290565545755e-05,0.7,0.0454776244433042,0.0773326367754786,0.045462087021942,0.1317276517592752,0.0,0.0169581107357656,0.020183098409817,0.0169440487364292,0.0137190610623776,0.0,3.391622147153132e-06,4.03661968196341e-06,1.694404873642921e-05,0.0,0.7,1.9324884143211352,94547.26842782962,-0.038231197506182424,asset_specific,-0.0098429402585088,-0.0098673125490744
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,7,2022-02-18,-0.0054392158660625,-0.0055615783180518,0.8599278243660421,0.0001223624519892,0.4153302176873258,0.0001164272578883,0.0228617910313928,8.109681412547793e-11,0.5616915639422962,0.2846697823126741,0.0453611971854159,0.0544708457440858,0.0454620869408452,0.429963912183021,5.693395646253482e-05,9.07223943708318e-06,1.0894169148817172e-05,4.546208694084528e-05,0.0,0.5616915639422962,2.0470021256059017,94021.43638971038,-0.04358015002511073,asset_specific,-0.0054392158660625,-0.0055615783180518
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,7,2022-02-25,0.0021418754863174,0.0021121567764852,0.2756725146317221,2.9718709832249744e-05,0.2775913474287302,1.9040200622807234e-05,0.0336190797066804,7.151167984260075e-10,0.6887705319488496,0.1377388702585956,9.738705726551764e-05,0.0107572886752876,6.340199843005294e-10,0.1270789680065533,2.7547774051719123e-05,1.947741145310353e-08,2.151457735057533e-06,6.340199843005297e-13,0.0,0.6887705319488496,1.8096532686899962,94220.02440371578,-0.04156004135782121,asset_specific,0.0021418754863174,0.0021121567764852
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,7,2022-03-04,-0.0049966408585173,-0.0050401099094391,0.431351949013847,4.346905092176016e-05,0.4932673219356537,1.8068777557341045e-06,0.0319670360624096,8.816891560910766e-11,0.4747638350360119,0.2156759745069235,1.723332286707313e-05,0.0016520436442708,6.269478828168997e-10,0.2140066969128377,4.3135194901384704e-05,3.446664573414626e-09,3.304087288541605e-07,6.269478828169e-13,0.0,0.4932673219356537,2.1288587952981906,93745.14512505101,-0.04639068409097613,asset_specific,-0.0049966408585173,-0.0050401099094391
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,7,2022-03-11,-0.004295431132357,-0.0044580370909634,0.8129078993905126,0.0001626059586063,0.0868133722403974,0.0563808439193467,0.1004662691007574,0.0563395147394984,0.7,0.4064539496952563,0.0563790370415909,0.0684992330383477,0.0563395146513295,0.225236164963988,8.129078993905125e-05,1.1275807408318198e-05,1.3699846607669547e-05,5.6339514651329546e-05,0.0,0.7,1.9455897411585605,93327.2257909858,-0.05064190979158667,asset_specific,-0.004295431132357,-0.0044580370909634
