protocol,strategy_name,aggregation_method,cumulative_return,annualized_return,annualized_volatility,sharpe,sortino,calmar,max_drawdown
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,datewise_median_of_net_returns_across_ten_seed_policies_diagnostic_only,0.5751644596611767,0.10918542350066174,0.0995220374300643,1.0917976241229845,1.726786106537967,0.5672265066455969,-0.19248998807610518
zero_cash,V4_real_garch_current_cap_0p70,datewise_median_of_net_returns_across_ten_seed_policies_diagnostic_only,0.18140871037789874,0.0387530671346521,0.06650276234845168,0.6050245651611358,0.8736449605992355,0.23842325320716615,-0.1625389579806611
zero_cash,V5_no_volatility_block_cap_0p50,datewise_median_of_net_returns_across_ten_seed_policies_diagnostic_only,0.2950384313933525,0.060738483263412135,0.09336942443226179,0.6782620433438303,1.005370938209521,0.24952888211724583,-0.2434126372388148
zero_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,datewise_median_of_net_returns_across_ten_seed_policies_diagnostic_only,0.4073073235502316,0.0810433095826728,0.07484907267612778,1.079085945847262,1.735879724482517,0.4500987134019695,-0.1800567457083475
zero_cash,V8_ewma_garch_vol_current_cap_uncapped,datewise_median_of_net_returns_across_ten_seed_policies_diagnostic_only,0.33549568552805087,0.06820671712167758,0.10801434607121418,0.6648830857645336,0.98241099184176,0.4282887936828927,-0.1592540316900708
bil_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,datewise_median_of_net_returns_across_ten_seed_policies_diagnostic_only,0.36079088141541305,0.07278779979515027,0.08354284212315753,0.8831232843363475,1.3471331453671693,0.356292932585876,-0.20429201125847896
bil_cash,V4_real_garch_current_cap_0p80,datewise_median_of_net_returns_across_ten_seed_policies_diagnostic_only,0.37322510523662866,0.07501563723986293,0.09035784018503405,0.8458592335647928,1.35310538548688,0.40031250454483674,-0.18739269043108508
bil_cash,V5_no_volatility_block_cap_0p70,datewise_median_of_net_returns_across_ten_seed_policies_diagnostic_only,0.3593267986129478,0.07252444756857224,0.10467875605291418,0.721617907748599,0.9978927849978759,0.2455823317470434,-0.2953162267523155
bil_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,datewise_median_of_net_returns_across_ten_seed_policies_diagnostic_only,0.6182299060215595,0.11602992624945285,0.08585389941856496,1.322643313951238,2.23633666803989,0.958490589308881,-0.12105484137628952
bil_cash,V8_ewma_garch_vol_current_cap_0p70,datewise_median_of_net_returns_across_ten_seed_policies_diagnostic_only,0.4457133964037474,0.08770212414617418,0.07952458597170095,1.0974787798033938,1.7865002080360086,0.5903686315240296,-0.1485548510932435
