protocol,candidate,mean_pairwise_seed_return_correlation,mean_weekly_cross_seed_return_dispersion,mean_individual_annualized_volatility,average_path_annualized_volatility,volatility_reduction_pct,mean_individual_max_drawdown,average_path_max_drawdown,drawdown_severity_reduction_pct,mean_individual_sharpe,average_path_sharpe,sharpe_increase,interpretation
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,0.564538401917074,0.009774285790887356,0.12439220287226549,0.09769877123762447,0.21459087481593753,-0.19508257989693986,-0.17695494229721365,0.09292289249661789,0.7327139951044506,0.9083162623487628,0.17560226724431227,mechanical_cross_policy_diversification_not_algorithm_stability
zero_cash,V4_real_garch_current_cap_0p70,0.4949184877522596,0.008712086711076213,0.10280411044803288,0.07594821060106333,0.2612337165306743,-0.1843464354869825,-0.17191822842742943,0.06741766949125894,0.5180260605288036,0.6653900842299352,0.14736402370113155,mechanical_cross_policy_diversification_not_algorithm_stability
zero_cash,V5_no_volatility_block_cap_0p50,0.6414259179666637,0.008428727009008362,0.1208053719342258,0.09890172574955956,0.18131351142722352,-0.2736497203961881,-0.25374326668702707,0.07274428667546462,0.5059126924324209,0.5904504654848056,0.08453777305238475,mechanical_cross_policy_diversification_not_algorithm_stability
zero_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,0.406651127986116,0.012080463971970401,0.12734486503333614,0.08429722705585517,0.3380398413882808,-0.21139754829846505,-0.16817981761958,0.20443818306666162,0.6809663574928227,1.062484720081153,0.38151836258833016,mechanical_cross_policy_diversification_not_algorithm_stability
zero_cash,V8_ewma_garch_vol_current_cap_uncapped,0.37609690278182284,0.015281752210330696,0.17401530089892564,0.11610593053679893,0.33278320965443464,-0.2825870759872734,-0.20397413047277035,0.27819016577404787,0.33167020380509826,0.5254590591355164,0.19378885533041812,mechanical_cross_policy_diversification_not_algorithm_stability
bil_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,0.560186775872503,0.009403436832153271,0.11271750611312423,0.08859914508206367,0.2139717410608355,-0.2080002928989754,-0.18667438378258905,0.1025282648363588,0.6822958217641761,0.8117810891720456,0.12948526740786948,mechanical_cross_policy_diversification_not_algorithm_stability
bil_cash,V4_real_garch_current_cap_0p80,0.5005207255292423,0.010847457970394422,0.12132762522533261,0.09232252023717893,0.23906430983285698,-0.2217520382317879,-0.19212227639232726,0.13361663809597057,0.5796987029534358,0.6789487281868858,0.09925002523344995,mechanical_cross_policy_diversification_not_algorithm_stability
bil_cash,V5_no_volatility_block_cap_0p70,0.5902524795817246,0.009589482058759665,0.12985712356100038,0.10275918216785676,0.2086750472369301,-0.3115491595663437,-0.28878449078836355,0.07306926717333184,0.48589112749418356,0.5862755863272554,0.10038445883307184,mechanical_cross_policy_diversification_not_algorithm_stability
bil_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,0.4209135079795395,0.013421949920989497,0.14658148536191717,0.10014368837105105,0.31680533783791887,-0.22371182261577208,-0.16619976476523235,0.25708099454948086,0.7548847133758281,0.9865013125328427,0.2316165991570146,mechanical_cross_policy_diversification_not_algorithm_stability
bil_cash,V8_ewma_garch_vol_current_cap_0p70,0.5260233285353444,0.009796569943390574,0.12193597375898528,0.09220441529547799,0.24382926175891073,-0.2458568228144319,-0.18633873424602865,0.24208434765841902,0.6544986918410602,0.7481593870288953,0.09366069518783504,mechanical_cross_policy_diversification_not_algorithm_stability
