protocol,candidate,metric,mean_of_seed_metrics,median_of_seed_metrics,std_of_seed_metrics,minimum_of_seed_metrics,maximum_of_seed_metrics,p10_of_seed_metrics,p90_of_seed_metrics,n_seeds,metric_of_mean_path,metric_of_median_return_path,difference,relative_difference,primary_value,primary_method
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,cumulative_return,0.439963079444542,0.3946044350530411,0.22661364815786872,0.15423589952909578,0.8553460179325014,0.15881281620438806,0.693044262995641,10,0.44476238271256086,0.5751644596611767,0.004799303268018862,0.010908422756923223,0.439963079444542,mean_of_metrics_across_ten_full_oos_seed_histories
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,annualized_return,0.08461653495374341,0.0787830658272024,0.0385827032833679,0.033255046971242264,0.15138274792246653,0.034187908581151595,0.12749656010799473,10,0.08753889664548997,0.10918542350066174,0.002922361691746561,0.0345365322905754,0.08461653495374341,mean_of_metrics_across_ten_full_oos_seed_histories
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,annualized_volatility,0.12439220287226549,0.12428884383788782,0.02411043524718983,0.08918202158880092,0.15971171862348932,0.09520804227154171,0.15181946756639725,10,0.09769877123762447,0.0995220374300643,-0.026693431634641024,-0.2145908748159375,0.12439220287226549,mean_of_metrics_across_ten_full_oos_seed_histories
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,sharpe,0.7327139951044506,0.6799653252381239,0.33342518089387607,0.33500765305846325,1.2761529666746951,0.4137769278866466,1.2430307312890543,10,0.9083162623487628,1.0917976241229845,0.17560226724431227,0.23966004255081771,0.7327139951044506,mean_of_metrics_across_ten_full_oos_seed_histories
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,sortino,1.0963558653823893,0.9231479009922106,0.6449529297617512,0.4131497136288895,2.1544313106783575,0.5574598611075872,2.121225458256019,10,1.3729643114658652,1.726786106537967,0.2766084460834759,0.25229804921689347,1.0963558653823893,mean_of_metrics_across_ten_full_oos_seed_histories
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,calmar,0.5100812883352502,0.42410015944982615,0.3458885147058271,0.15811049945243597,1.1223179939934234,0.1775092000952921,0.9903911826179206,10,0.4946959689798298,0.5672265066455969,-0.015385319355420424,-0.030162485288635885,0.5100812883352502,mean_of_metrics_across_ten_full_oos_seed_histories
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,max_drawdown,-0.19508257989693986,-0.18271790559818568,0.06202762369850592,-0.2964720154796764,-0.11123633400504107,-0.28587345135257136,-0.11840930468246344,10,-0.17695494229721365,-0.19248998807610518,0.018127637599726215,0.0929228924966179,-0.19508257989693986,mean_of_metrics_across_ten_full_oos_seed_histories
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,average_turnover,0.2767384531097496,0.2769808145483002,0.03813318495862074,0.22933633949851967,0.36380618576164336,0.23039702191559416,0.3009365130442512,10,0.2767384531097496,,0.0,0.0,0.2767384531097496,mean_of_metrics_across_ten_full_oos_seed_histories
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,total_transaction_cost,0.015901387750930564,0.01592479951669992,0.003379046558657501,0.01078116027420159,0.02050823756911332,0.012133231247363882,0.019478077876536524,10,0.01590138775093056,,-3.469446951953614e-18,-2.1818516762793732e-16,0.015901387750930564,mean_of_metrics_across_ten_full_oos_seed_histories
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,mean_transaction_cost,6.974292873215159e-05,6.984561191535052e-05,1.4820379643234656e-05,4.728579067632276e-05,8.99484103908479e-05,5.32159265235258e-05,8.543016612516019e-05,10,6.974292873215158e-05,,-1.3552527156068805e-20,-1.9432116491863167e-16,6.974292873215159e-05,mean_of_metrics_across_ten_full_oos_seed_histories
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,average_max_weight,0.6571236875240694,0.6531079012545176,0.007775733725444847,0.6496848595433051,0.6710718538535271,0.6517941342897521,0.6705279397209719,10,0.6571236875240694,,0.0,0.0,0.6571236875240694,mean_of_metrics_across_ten_full_oos_seed_histories
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,average_effective_number_of_assets,1.9568992412966466,1.9523633661692348,0.03639237671319168,1.9050123513465673,2.015105201661771,1.9134890580110973,2.007946608941945,10,1.9568992412966464,,-2.220446049250313e-16,-1.1346757167625245e-16,1.9568992412966466,mean_of_metrics_across_ten_full_oos_seed_histories
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,mean_cash_weight,0.2717733138727815,0.24479014585596143,0.1341470752904239,0.1289511128831168,0.5040803115261139,0.13464212002499273,0.486125769822561,10,0.2717733138727814,,-5.551115123125783e-17,-2.0425534221966653e-16,0.2717733138727815,mean_of_metrics_across_ten_full_oos_seed_histories
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,cash_above_10_rate,0.5657894736842105,0.5109649122807017,0.20090506884563608,0.29385964912280704,0.9429824561403509,0.41228070175438597,0.8798245614035088,10,1.0,,0.4342105263157895,0.7674418604651163,0.5657894736842105,mean_of_metrics_across_ten_full_oos_seed_histories
