protocol,profile,strategy_name,strategy_type_average_path,strategy_group_average_path,base_candidate_average_path,feature_family_average_path,constraint_status_average_path,robust_score_average_path,original_mandate_aware_score_average_path,profile_score_average_path,profile_multiplier_average_path,profile_eligible_average_path,failed_constraints_average_path,annualized_return_average_path,annualized_volatility_average_path,sharpe_average_path,max_drawdown_average_path,average_turnover_average_path,average_effective_number_of_assets_average_path,average_max_weight_average_path,max_drawdown_limit_average_path,max_annualized_volatility_limit_average_path,min_effective_assets_average_path,max_average_turnover_limit_average_path,drawdown_pass_average_path,volatility_pass_average_path,effective_assets_pass_average_path,turnover_pass_average_path,drawdown_multiplier_average_path,volatility_multiplier_average_path,effective_assets_multiplier_average_path,turnover_multiplier_average_path,profile_rank_average_path,profile_eligible_rank_average_path,strategy_type_seed_aggregated,strategy_group_seed_aggregated,base_candidate_seed_aggregated,feature_family_seed_aggregated,constraint_status_seed_aggregated,robust_score_seed_aggregated,original_mandate_aware_score_seed_aggregated,profile_score_seed_aggregated,profile_multiplier_seed_aggregated,profile_eligible_seed_aggregated,failed_constraints_seed_aggregated,annualized_return_seed_aggregated,annualized_volatility_seed_aggregated,sharpe_seed_aggregated,max_drawdown_seed_aggregated,average_turnover_seed_aggregated,average_effective_number_of_assets_seed_aggregated,average_max_weight_seed_aggregated,max_drawdown_limit_seed_aggregated,max_annualized_volatility_limit_seed_aggregated,min_effective_assets_seed_aggregated,max_average_turnover_limit_seed_aggregated,drawdown_pass_seed_aggregated,volatility_pass_seed_aggregated,effective_assets_pass_seed_aggregated,turnover_pass_seed_aggregated,drawdown_multiplier_seed_aggregated,volatility_multiplier_seed_aggregated,effective_assets_multiplier_seed_aggregated,turnover_multiplier_seed_aggregated,profile_rank_seed_aggregated,profile_eligible_rank_seed_aggregated,rank_changed
zero_cash,aggressive,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,td3,,V7_real_macro_vintage_clean_no_dxy_garch,,,0.5204788152276412,0.4152468984336249,0.3376742227971422,0.6487761132976259,False,turnover,0.0897674824933962,0.0842972270558551,1.062484720081153,-0.16817981761958,0.3082727552705845,1.700697525644915,0.7292414311385291,-0.25,0.25,1.5,0.2,True,True,True,False,1.0,1.0,1.0,0.6487761132976259,11,,td3,,V7_real_macro_vintage_clean_no_dxy_garch,,,0.4693060776497923,0.3435010487627105,0.30447457300458614,0.648776113297626,False,turnover,0.08612999104700117,0.12734486503333614,0.6809663574928227,-0.21139754829846505,0.30827275527058445,1.7006975256449153,0.7292414311385291,-0.25,0.25,1.5,0.2,True,True,True,False,1.0,1.0,1.0,0.648776113297626,11,,False
zero_cash,aggressive,defensive_risk_off_12p,benchmark,,,,,0.549504604012012,0.4219843661697625,0.2983024993208065,0.5428571428571429,False,effective_assets;turnover,0.0858542307792935,0.1423163741026759,0.6507149699585638,-0.1883538534464882,0.2456140350877192,1.0,1.0,-0.25,0.25,1.5,0.2,True,True,False,False,1.0,1.0,0.6666666666666666,0.8142857142857144,12,,benchmark,,,,,0.5145046040120119,0.3951066062600042,0.2793024993208066,0.542857142857143,False,effective_assets;turnover,0.0858542307792935,0.1423163741026759,0.6507149699585638,-0.1883538534464882,0.2456140350877192,1.0,1.0,-0.25,0.25,1.5,0.2,True,True,False,False,1.0,1.0,0.6666666666666666,0.8142857142857146,12,,False
zero_cash,aggressive,V4_real_garch_current_cap_0p70,td3,,V4_real_garch_current,,,0.4434670184284059,0.3513987387107859,0.199213480473773,0.4492182556884654,False,turnover,0.0487949661169138,0.0759482106010633,0.6653900842299352,-0.1719182284274294,0.4452178812134046,2.004302828951787,0.650403030510398,-0.25,0.25,1.5,0.2,True,True,True,False,1.0,1.0,1.0,0.4492182556884654,13,,td3,,V4_real_garch_current,,,0.4516693616265811,0.3495872517001036,0.20289812277781547,0.4492182556884654,False,turnover,0.047059535641156405,0.10280411044803288,0.5180260605288036,-0.1843464354869825,0.4452178812134046,2.004302828951787,0.6504030305103979,-0.25,0.25,1.5,0.2,True,True,True,False,1.0,1.0,1.0,0.4492182556884654,13,,False
zero_cash,aggressive,V5_no_volatility_block_cap_0p50,td3,,V5_no_volatility_block,,,0.4159751097381454,0.2745346663978713,0.1953820792419109,0.4696965627700732,False,drawdown;turnover,0.0549574925134435,0.0989017257495595,0.5904504654848056,-0.253743266687027,0.4195252410779325,2.800666286309067,0.4934377478474876,-0.25,0.25,1.5,0.2,False,True,True,False,0.985247818647956,1.0,1.0,0.4767293607557866,14,,td3,,V5_no_volatility_block,,,0.4527595126574402,0.2821840788419499,0.19718981690606688,0.43552882135744664,False,drawdown;turnover,0.0525765436050555,0.1208053719342258,0.5059126924324209,-0.2736497203961881,0.41952524107793254,2.8006662863090668,0.4934377478474876,-0.25,0.25,1.5,0.2,False,True,True,False,0.913576668881853,1.0,1.0,0.47672936075578654,14,,False
zero_cash,aggressive,V8_ewma_garch_vol_current_cap_uncapped,td3,,V8_ewma_garch_vol_current,,,0.3759809978374099,0.2796394088966916,0.1238833105029202,0.3294935414701265,False,effective_assets;turnover,0.0557888303211597,0.1161059305367989,0.5254590591355164,-0.2039741304727703,0.530399548934085,1.3107241932933702,0.8773893414866458,-0.25,0.25,1.5,0.2,True,True,False,False,1.0,1.0,0.8738161288622468,0.3770742271593727,15,,td3,,V8_ewma_garch_vol_current,,,0.3601153750418297,0.21826686988536875,0.10497267952349584,0.29149735556640033,False,drawdown;effective_assets;turnover,0.048248478954693676,0.17401530089892564,0.33167020380509826,-0.2825870759872734,0.5303995489340851,1.31072419329337,0.8773893414866458,-0.25,0.25,1.5,0.2,False,True,False,False,0.8846830631817678,1.0,0.8738161288622467,0.37707422715937267,16,,True
zero_cash,aggressive,momentum_winner_12p,benchmark,,,,,0.715253378642922,0.0,0.1168774872691652,0.1634071096468239,False,drawdown;volatility;effective_assets;turnover,0.3004846187538317,0.3614291915419867,0.8971611533196885,-0.3093328814892037,0.4561403508771929,1.0,1.0,-0.25,0.25,1.5,0.2,False,False,False,False,0.8081908356991964,0.6916984179761746,0.6666666666666666,0.4384615384615385,16,,benchmark,,,,,0.680253378642922,0.0,0.1111582384315264,0.16340710964682395,False,drawdown;volatility;effective_assets;turnover,0.3004846187538317,0.3614291915419867,0.8971611533196885,-0.3093328814892037,0.4561403508771929,1.0,1.0,-0.25,0.25,1.5,0.2,False,False,False,False,0.8081908356991964,0.6916984179761746,0.6666666666666666,0.43846153846153857,15,,True
zero_cash,aggressive,BuyHold_TLT,benchmark,,,,,0.2042283060859396,0.0,0.0867893618550889,0.4249624526512393,False,drawdown;effective_assets,-0.090453722230371,0.1516641905461336,-0.5489279650114005,-0.3921915115720767,0.0,1.0,1.0,-0.25,0.25,1.5,0.2,False,True,False,True,0.637443678976859,1.0,0.6666666666666666,1.0,17,,benchmark,,,,,0.16922830608593967,0.0,0.07191567601229559,0.42496245265123944,False,drawdown;effective_assets,-0.090453722230371,0.1516641905461336,-0.5489279650114005,-0.3921915115720767,0.0,1.0,1.0,-0.25,0.25,1.5,0.2,False,True,False,True,0.6374436789768592,1.0,0.6666666666666666,1.0,17,,False
zero_cash,aggressive,risk_adjusted_momentum_winner_12p_12p,benchmark,,,,,0.3812400051875868,0.0,0.0582535078837831,0.1528000920446947,False,drawdown;volatility;effective_assets;turnover,0.1160294822516032,0.309098785780903,0.5018355888550975,-0.4905901606354652,0.3596491228070175,1.0,1.0,-0.25,0.25,1.5,0.2,False,False,False,False,0.5095903262229579,0.8088029183563543,0.6666666666666666,0.5560975609756098,18,,benchmark,,,,,0.3462400051875869,0.0,0.052905504662218876,0.15280009204469477,False,drawdown;volatility;effective_assets;turnover,0.1160294822516032,0.309098785780903,0.5018355888550975,-0.4905901606354652,0.3596491228070175,1.0,1.0,-0.25,0.25,1.5,0.2,False,False,False,False,0.5095903262229579,0.8088029183563545,0.6666666666666666,0.5560975609756098,18,,False
zero_cash,aggressive,BuyHold_BTC-USD,benchmark,,,,,0.2960728185554757,0.0,0.0373850006257167,0.1262696143743161,False,drawdown;volatility;effective_assets,0.1297733389675517,0.5131787191095913,0.4918542301179646,-0.6430152393197859,0.0,1.0,1.0,-0.25,0.25,1.5,0.2,False,False,False,True,0.3887932738024415,0.4871597178343078,0.6666666666666666,1.0,19,,benchmark,,,,,0.2610728185554757,0.0,0.03296556412261572,0.1262696143743161,False,drawdown;volatility;effective_assets,0.1297733389675517,0.5131787191095913,0.4918542301179646,-0.6430152393197859,0.0,1.0,1.0,-0.25,0.25,1.5,0.2,False,False,False,True,0.38879327380244155,0.4871597178343078,0.6666666666666666,1.0,19,,False
zero_cash,conservative,rolling_markowitz_min_variance_52p,benchmark,,,,,0.602541768543386,0.421688331204938,0.2206719291003469,0.3662350738502494,False,drawdown;volatility;effective_assets,0.081902279675345,0.1043954327541812,0.8064203650326056,-0.2308584938745816,0.0378109996137178,2.647942470859379,0.4779682729197295,-0.1,0.1,3.0,0.05,False,False,False,True,0.4331657818677745,0.9578963117617308,0.8826474902864597,1.0,1,,benchmark,,,,,0.567541768543386,0.3971936117303825,0.20785370151558835,0.3662350738502498,False,drawdown;volatility;effective_assets,0.081902279675345,0.1043954327541812,0.8064203650326056,-0.2308584938745816,0.0378109996137178,2.647942470859379,0.4779682729197295,-0.1,0.1,3.0,0.05,False,False,False,True,0.43316578186777466,0.9578963117617313,0.8826474902864597,1.0,1,,False
