protocol,strategy_name,annualized_return_average_path,annualized_volatility_average_path,sharpe_average_path,max_drawdown_average_path,robust_score_average_path,mandate_aware_score_average_path,rank_sharpe_average_path,rank_robust_average_path,rank_mandate_aware_average_path,annualized_return_seed_aggregated,annualized_volatility_seed_aggregated,sharpe_seed_aggregated,max_drawdown_seed_aggregated,robust_score_seed_aggregated,mandate_aware_score_seed_aggregated,rank_sharpe_seed_aggregated,rank_robust_seed_aggregated,rank_mandate_aware_seed_aggregated,delta_annualized_return,delta_annualized_volatility,delta_sharpe,delta_max_drawdown,delta_robust_score,delta_mandate_aware_score,delta_rank_sharpe,delta_rank_robust,delta_rank_mandate_aware
zero_cash,BuyHold_GLD,0.2257082377484229,0.1664043116160493,1.3081884451675567,-0.1734831770796148,0.9074901111488644,0.7170109057841568,1,1,1,0.2257082377484229,0.1664043116160493,1.3081884451675567,-0.1734831770796148,0.8724901111488644,0.6893572912773549,1,1,1,0.0,0.0,0.0,0.0,-0.03499999999999992,-0.027653614506801927,0,0,0
zero_cash,rolling_markowitz_long_only_52p,0.2761936033774554,0.2245106918365903,1.1988242479757492,-0.2106307713462841,0.9001860655429608,0.6599855630938487,2,2,2,0.2761936033774554,0.2245106918365903,1.1988242479757492,-0.2106307713462841,0.8651860655429607,0.6343247629632093,2,2,2,0.0,0.0,0.0,0.0,-0.03500000000000003,-0.025660800130639427,0,0,0
zero_cash,trend_spy_cash_12p,0.0854594424902874,0.1074537825814774,0.8174290189188304,-0.1625884610537178,0.6205999769023157,0.5001067779412814,6,4,3,0.0854594424902874,0.1074537825814774,0.8174290189188304,-0.1625884610537178,0.5855999769023156,0.47190223736860254,4,4,3,0.0,0.0,0.0,0.0,-0.03500000000000014,-0.028204540572678904,-2,0,0
zero_cash,defensive_risk_off_12p,0.0858542307792935,0.1423163741026759,0.6507149699585638,-0.1883538534464882,0.549504604012012,0.4219843661697625,13,10,4,0.0858542307792935,0.1423163741026759,0.6507149699585638,-0.1883538534464882,0.5145046040120119,0.3951066062600042,12,11,7,0.0,0.0,0.0,0.0,-0.03500000000000003,-0.02687775990975827,-1,1,3
zero_cash,rolling_markowitz_min_variance_52p,0.081902279675345,0.1043954327541812,0.8064203650326056,-0.2308584938745816,0.602541768543386,0.421688331204938,7,5,5,0.081902279675345,0.1043954327541812,0.8064203650326056,-0.2308584938745816,0.567541768543386,0.3971936117303825,5,5,5,0.0,0.0,0.0,0.0,-0.03500000000000003,-0.024494719474555504,-2,0,0
zero_cash,BuyHold_SPY,0.1209506174024004,0.1681668290824719,0.7634141117043921,-0.2247947201487099,0.5938067192979866,0.4216141159237923,11,6,6,0.1209506174024004,0.1681668290824719,0.7634141117043921,-0.2247947201487099,0.5588067192979865,0.3967634472166779,9,6,6,0.0,0.0,0.0,0.0,-0.03500000000000003,-0.024850668707114387,-2,0,0
zero_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,0.0897674824933962,0.0842972270558551,1.062484720081153,-0.16817981761958,0.5204788152276412,0.4152468984336249,3,12,7,0.08612999104700117,0.12734486503333614,0.6809663574928227,-0.21139754829846505,0.4693060776497923,0.3435010487627105,11,12,10,-0.0036374914463950248,0.04304763797748104,-0.38151836258833016,-0.04321773067888504,-0.05117273757784885,-0.07174584967091441,8,0,3
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,0.0875388966454899,0.0976987712376244,0.9083162623487628,-0.1769549422972136,0.5287499607752029,0.4150685554584873,4,11,8,0.08461653495374341,0.12439220287226549,0.7327139951044506,-0.19508257989693986,0.5395905702200859,0.40881352664073667,10,8,4,-0.0029223616917464917,0.026693431634641093,-0.17560226724431227,-0.01812763759972627,0.010840609444883076,-0.006255028817750641,6,-3,-4
zero_cash,Equal_Weight,0.0991563667059947,0.1302191770174849,0.7913205232039142,-0.2512975002879043,0.5652576816556425,0.3755323335057142,9,9,9,0.0991563667059947,0.1302191770174849,0.7913205232039142,-0.2512975002879043,0.5302576816556425,0.35227987343440254,7,10,8,0.0,0.0,0.0,0.0,-0.03500000000000003,-0.023252460071311654,-2,1,-1
zero_cash,rolling_risk_parity_inverse_vol_12p,0.0870721448064411,0.1123861908810632,0.7993464897270386,-0.269991400919034,0.5750337680629098,0.3623593244871615,8,7,10,0.0870721448064411,0.1123861908810632,0.7993464897270386,-0.269991400919034,0.5400337680629098,0.3403039651996994,6,7,11,0.0,0.0,0.0,0.0,-0.03500000000000003,-0.022055359287462106,-2,0,1
zero_cash,V4_real_garch_current_cap_0p70,0.0487949661169138,0.0759482106010633,0.6653900842299352,-0.1719182284274294,0.4434670184284059,0.3513987387107859,12,13,11,0.047059535641156405,0.10280411044803288,0.5180260605288036,-0.1843464354869825,0.4516693616265811,0.3495872517001036,13,14,9,-0.001735430475757395,0.02685589984696958,-0.14736402370113155,-0.012428207059553109,0.0082023431981752,-0.0018114870106823444,1,1,-2
zero_cash,60_40_SPY_TLT,0.0365960183849269,0.1250640395691306,0.3496406498886238,-0.2482794217772905,0.4291338837471878,0.2873988885795697,18,14,12,0.0365960183849269,0.1250640395691306,0.3496406498886238,-0.2482794217772905,0.3941338837471878,0.26395874208624154,17,15,13,0.0,0.0,0.0,0.0,-0.03500000000000003,-0.02344014649332815,-1,1,1
zero_cash,V8_ewma_garch_vol_current_cap_uncapped,0.0557888303211597,0.1161059305367989,0.5254590591355164,-0.2039741304727703,0.3759809978374099,0.2796394088966916,15,17,13,0.048248478954693676,0.17401530089892564,0.33167020380509826,-0.2825870759872734,0.3601153750418297,0.21826686988536875,18,16,14,-0.007540351366466025,0.05790937036212675,-0.19378885533041812,-0.0786129455145031,-0.01586562279558018,-0.061372539011322835,3,-1,1
zero_cash,V5_no_volatility_block_cap_0p50,0.0549574925134435,0.0989017257495595,0.5904504654848056,-0.253743266687027,0.4159751097381454,0.2745346663978713,14,15,14,0.0525765436050555,0.1208053719342258,0.5059126924324209,-0.2736497203961881,0.4527595126574402,0.2821840788419499,14,13,12,-0.0023809489083879976,0.02190364618466631,-0.08453777305238475,-0.01990645370916111,0.0367844029192948,0.007649412444078629,0,-2,-2
zero_cash,momentum_winner_12p,0.3004846187538317,0.3614291915419867,0.8971611533196885,-0.3093328814892037,0.715253378642922,0.0,5,3,15,0.3004846187538317,0.3614291915419867,0.8971611533196885,-0.3093328814892037,0.680253378642922,0.0,3,3,15,0.0,0.0,0.0,0.0,-0.03500000000000003,0.0,-2,0,0
zero_cash,Equal_Weight_Risky,0.1224723954714679,0.1627739712718562,0.7913205232039137,-0.3056136591486704,0.5697632357178978,0.0,10,8,15,0.1224723954714679,0.1627739712718562,0.7913205232039137,-0.3056136591486704,0.5347632357178977,0.0,8,9,15,0.0,0.0,0.0,0.0,-0.03500000000000003,0.0,-2,1,0
zero_cash,risk_adjusted_momentum_winner_12p_12p,0.1160294822516032,0.309098785780903,0.5018355888550975,-0.4905901606354652,0.3812400051875868,0.0,16,16,15,0.1160294822516032,0.309098785780903,0.5018355888550975,-0.4905901606354652,0.3462400051875869,0.0,15,17,15,0.0,0.0,0.0,0.0,-0.034999999999999865,0.0,-1,1,0
zero_cash,BuyHold_BTC-USD,0.1297733389675517,0.5131787191095913,0.4918542301179646,-0.6430152393197859,0.2960728185554757,0.0,17,18,15,0.1297733389675517,0.5131787191095913,0.4918542301179646,-0.6430152393197859,0.2610728185554757,0.0,16,18,15,0.0,0.0,0.0,0.0,-0.034999999999999976,0.0,-1,0,0
zero_cash,BuyHold_TLT,-0.090453722230371,0.1516641905461336,-0.5489279650114005,-0.3921915115720767,0.2042283060859396,0.0,19,19,15,-0.090453722230371,0.1516641905461336,-0.5489279650114005,-0.3921915115720767,0.16922830608593967,0.0,19,19,15,0.0,0.0,0.0,0.0,-0.03499999999999992,0.0,0,0,0
bil_cash,BuyHold_GLD,0.2322936188088433,0.1654320005729825,1.3474054884786069,-0.1734831770796148,0.8940104195506251,0.70636055735192,1,1,1,0.2322936188088433,0.1654320005729825,1.3474054884786069,-0.1734831770796148,0.8590104195506251,0.6787069428451181,1,1,1,0.0,0.0,0.0,0.0,-0.03500000000000003,-0.027653614506801927,0,0,0
bil_cash,rolling_markowitz_long_only_52p,0.2816893030703187,0.2241712232198908,1.2195652401357844,-0.2106307529911757,0.8813828766839864,0.646199735596402,2,2,2,0.2816893030703187,0.2241712232198908,1.2195652401357844,-0.2106307529911757,0.8463828766839864,0.6205389344347483,2,2,2,0.0,0.0,0.0,0.0,-0.03500000000000003,-0.0256608011616537,0,0,0
bil_cash,trend_spy_cash_12p,0.0955478136492284,0.1075136622288839,0.9032336086219156,-0.1572678836058595,0.6307053071518842,0.5130051662587489,5,4,3,0.0955478136492284,0.1075136622288839,0.9032336086219156,-0.1572678836058595,0.5957053071518841,0.4845367506366613,4,4,3,0.0,0.0,0.0,0.0,-0.03500000000000014,-0.02846841562208763,-1,0,0
bil_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,0.0982480074997025,0.100143688371051,0.9865013125328428,-0.1661997647652323,0.530747205127654,0.4249544061880089,3,11,4,0.0935975479630169,0.14658148536191717,0.7548847133758281,-0.22371182261577208,0.5296984100769495,0.37704917464187354,10,9,7,-0.004650459536685594,0.04643779699086617,-0.2316165991570147,-0.05751205785053978,-0.001048795050704543,-0.04790523154613535,7,-2,3
bil_cash,rolling_markowitz_min_variance_52p,0.0855647386178828,0.1039724348932699,0.8418310211156397,-0.2308587567687334,0.5915301461688838,0.4139815940173063,7,5,5,0.0855647386178828,0.1039724348932699,0.8418310211156397,-0.2308587567687334,0.5565301461688837,0.3894868900965547,6,5,4,0.0,0.0,0.0,0.0,-0.03500000000000003,-0.024494703920751593,-1,0,-1
bil_cash,defensive_risk_off_12p,0.0923217913210872,0.1404246813239968,0.6999200502562037,-0.1933586274362503,0.5367105882857228,0.4080566086967597,13,10,6,0.0923217913210872,0.1404246813239968,0.6999200502562037,-0.1933586274362503,0.5017105882857228,0.38144639899323246,11,11,6,0.0,0.0,0.0,0.0,-0.03500000000000003,-0.026610209703527232,-2,1,0
bil_cash,BuyHold_SPY,0.1240489246586979,0.1682616180460695,0.7795225030534743,-0.2247945431293709,0.5743428531552838,0.4077945682711025,11,7,7,0.1240489246586979,0.1682616180460695,0.7795225030534743,-0.2247945431293709,0.5393428531552837,0.38294388925407,9,7,5,0.0,0.0,0.0,0.0,-0.03500000000000003,-0.024850679017032473,-2,0,-2
bil_cash,Equal_Weight,0.1113021997378382,0.1300632895424597,0.8767629381289029,-0.2502947673645993,0.5774954472636737,0.3846942204149988,6,6,8,0.1113021997378382,0.1300632895424597,0.8767629381289029,-0.2502947673645993,0.5424954472636737,0.3613792353734329,5,6,9,0.0,0.0,0.0,0.0,-0.03500000000000003,-0.023314985041565872,-1,0,1
bil_cash,risk_adjusted_momentum_winner_12p_12p,0.0160018943472748,0.0465899265861962,0.3643147207623331,-0.0903335946859553,0.4247657147238476,0.3825847419120535,18,15,9,0.0160018943472748,0.0465899265861962,0.3643147207623331,-0.0903335946859553,0.38976571472384763,0.35106038506600395,18,16,10,0.0,0.0,0.0,0.0,-0.034999999999999976,-0.03152435684604954,0,1,1
bil_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,0.0703337350230446,0.0885991450820636,0.8117810891720456,-0.186674383782589,0.4822137820118486,0.3715361409617836,10,12,10,0.06887660051656734,0.11271750611312423,0.6822958217641761,-0.2080002928989754,0.4966860246291714,0.36624299835603485,12,12,8,-0.0014571345064772617,0.02411836103106063,-0.12948526740786948,-0.021325909116386405,0.014472242617322773,-0.005293142605748757,2,0,-2
bil_cash,rolling_risk_parity_inverse_vol_12p,0.0912786749022951,0.1119228345107243,0.8367550757865162,-0.2699913295959265,0.5661012418864256,0.3567305409902018,8,8,11,0.0912786749022951,0.1119228345107243,0.8367550757865162,-0.2699913295959265,0.5311012418864256,0.33467517701846555,7,8,12,0.0,0.0,0.0,0.0,-0.03500000000000003,-0.02205536397173624,-1,0,1
bil_cash,V4_real_garch_current_cap_0p80,0.060156706623458,0.0923225202371789,0.6789487281868858,-0.1921222763923272,0.4473457705120777,0.3409619883458086,14,13,12,0.05744237112990662,0.12132762522533261,0.5796987029534358,-0.2217520382317879,0.4735375574069296,0.338608943786527,14,13,11,-0.0027143354935513786,0.0290051049881537,-0.09925002523344995,-0.0296297618394607,0.02619178689485191,-0.002353044559281592,0,0,-1
bil_cash,V8_ewma_garch_vol_current_cap_0p70,0.0668426725271236,0.0922044152954779,0.7481593870288953,-0.1863387342460286,0.4317961798116814,0.332909386271348,12,14,13,0.06444312449802034,0.12193597375898528,0.6544986918410602,-0.2458568228144319,0.43009681556996165,0.28988174795738814,13,14,13,-0.002399548029103263,0.029731558463507377,-0.09366069518783504,-0.05951808856840332,-0.0016993642417197363,-0.04302763831395984,1,0,0
bil_cash,60_40_SPY_TLT,0.039726421321683,0.1249610081510866,0.3739768167772648,-0.248279353013473,0.4120283188179073,0.2759430259242926,17,16,14,0.039726421321683,0.1249610081510866,0.3739768167772648,-0.248279353013473,0.3770283188179073,0.25250287517189135,17,17,14,0.0,0.0,0.0,0.0,-0.034999999999999976,-0.023440150752401245,0,1,0
bil_cash,V5_no_volatility_block_cap_0p70,0.0564536521516096,0.1027591821678567,0.5862755863272554,-0.2887844907883635,0.3603068426826273,0.2140065627477826,15,17,15,0.05398910917962425,0.12985712356100038,0.48589112749418356,-0.3115491595663437,0.40825480218666643,0.0,16,15,15,-0.0024645429719853465,0.02709794139314367,-0.10038445883307184,-0.022764668777980224,0.04794795950403913,-0.2140065627477826,1,-2,0
bil_cash,momentum_winner_12p,0.321259470958446,0.3605680539994521,0.9426637496448051,-0.3097942670536373,0.7215176353449761,0.0,4,3,16,0.321259470958446,0.3605680539994521,0.9426637496448051,-0.3097942670536373,0.6865176353449761,0.0,3,3,15,0.0,0.0,0.0,0.0,-0.03500000000000003,0.0,-1,0,-1
bil_cash,Equal_Weight_Risky,0.1272980758925497,0.1624407599572301,0.8190831900245825,-0.3056136113726518,0.5590741458841388,0.0,9,9,16,0.1272980758925497,0.1624407599572301,0.8190831900245825,-0.3056136113726518,0.5240741458841388,0.0,8,10,15,0.0,0.0,0.0,0.0,-0.03500000000000003,0.0,-1,1,-1
bil_cash,BuyHold_BTC-USD,0.1361823205881858,0.5131067754295661,0.5029295440009841,-0.6430152393197859,0.2956824614769322,0.0,16,18,16,0.1361823205881858,0.5131067754295661,0.5029295440009841,-0.6430152393197859,0.26068246147693214,0.0,15,18,15,0.0,0.0,0.0,0.0,-0.03500000000000009,0.0,-1,0,-1
bil_cash,BuyHold_TLT,-0.0873474111125999,0.1512384330258224,-0.5283992618658764,-0.392191429079702,0.1919817687566268,0.0,19,19,16,-0.0873474111125999,0.1512384330258224,-0.5283992618658764,-0.392191429079702,0.15698176875662678,0.0,19,19,15,0.0,0.0,0.0,0.0,-0.03500000000000003,0.0,0,0,-1
