protocol,profile,strategy_name,strategy_type_average_path,strategy_group_average_path,feasible_average_path,failed_constraints_average_path,max_drawdown_pass_average_path,annualized_volatility_pass_average_path,average_effective_number_of_assets_pass_average_path,average_turnover_pass_average_path,max_drawdown_average_path,max_drawdown_limit_average_path,annualized_volatility_average_path,max_annualized_volatility_limit_average_path,average_max_weight_average_path,average_effective_number_of_assets_average_path,min_effective_assets_limit_average_path,average_turnover_average_path,max_average_turnover_limit_average_path,sharpe_average_path,calmar_average_path,sortino_average_path,annualized_return_average_path,strategy_type_seed_aggregated,strategy_group_seed_aggregated,feasible_seed_aggregated,failed_constraints_seed_aggregated,max_drawdown_pass_seed_aggregated,annualized_volatility_pass_seed_aggregated,average_effective_number_of_assets_pass_seed_aggregated,average_turnover_pass_seed_aggregated,max_drawdown_seed_aggregated,max_drawdown_limit_seed_aggregated,annualized_volatility_seed_aggregated,max_annualized_volatility_limit_seed_aggregated,average_max_weight_seed_aggregated,average_effective_number_of_assets_seed_aggregated,min_effective_assets_limit_seed_aggregated,average_turnover_seed_aggregated,max_average_turnover_limit_seed_aggregated,sharpe_seed_aggregated,calmar_seed_aggregated,sortino_seed_aggregated,annualized_return_seed_aggregated,feasibility_changed
zero_cash,conservative,V4_real_garch_current_cap_0p70,td3,,False,max_drawdown;average_effective_number_of_assets;average_turnover,False,True,False,False,-0.1719182284274294,-0.1,0.0759482106010633,0.1,0.650403030510398,2.004302828951787,3.0,0.4452178812134046,0.05,0.6653900842299352,0.2838265992108641,0.9654725393935006,0.0487949661169138,td3,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets;average_turnover,False,False,False,False,-0.1843464354869825,-0.1,0.10280411044803288,0.1,0.6504030305103979,2.004302828951787,3.0,0.4452178812134046,0.05,0.5180260605288036,0.36795214187383,0.7780577058112079,0.047059535641156405,False
zero_cash,conservative,60_40_SPY_TLT,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets,False,False,False,True,-0.2482794217772905,-0.1,0.1250640395691306,0.1,0.5999999999999998,1.9230769230769231,3.0,0.0,0.05,0.3496406498886238,0.1473985162481731,0.4356431213797056,0.0365960183849269,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets,False,False,False,True,-0.2482794217772905,-0.1,0.1250640395691306,0.1,0.5999999999999998,1.9230769230769231,3.0,0.0,0.05,0.3496406498886238,0.1473985162481731,0.4356431213797056,0.0365960183849269,False
zero_cash,conservative,V8_ewma_garch_vol_current_cap_uncapped,td3,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets;average_turnover,False,False,False,False,-0.2039741304727703,-0.1,0.1161059305367989,0.1,0.8773893414866458,1.3107241932933702,3.0,0.530399548934085,0.05,0.5254590591355164,0.2735093425418834,0.7360755928494638,0.0557888303211597,td3,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets;average_turnover,False,False,False,False,-0.2825870759872734,-0.1,0.17401530089892564,0.1,0.8773893414866458,1.31072419329337,3.0,0.5303995489340851,0.05,0.33167020380509826,0.22604162068120903,0.4199520729756645,0.048248478954693676,False
zero_cash,conservative,V5_no_volatility_block_cap_0p50,td3,,False,max_drawdown;average_effective_number_of_assets;average_turnover,False,True,False,False,-0.253743266687027,-0.1,0.0989017257495595,0.1,0.4934377478474876,2.800666286309067,3.0,0.4195252410779325,0.05,0.5904504654848056,0.2165869984689263,0.8292302310022852,0.0549574925134435,td3,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets;average_turnover,False,False,False,False,-0.2736497203961881,-0.1,0.1208053719342258,0.1,0.4934377478474876,2.8006662863090668,3.0,0.41952524107793254,0.05,0.5059126924324209,0.2280510051677962,0.7161811237470675,0.0525765436050555,False
zero_cash,conservative,momentum_winner_12p,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets;average_turnover,False,False,False,False,-0.3093328814892037,-0.1,0.3614291915419867,0.1,1.0,1.0,3.0,0.4561403508771929,0.05,0.8971611533196885,0.9713956605816546,1.6398602522661376,0.3004846187538317,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets;average_turnover,False,False,False,False,-0.3093328814892037,-0.1,0.3614291915419867,0.1,1.0,1.0,3.0,0.4561403508771929,0.05,0.8971611533196885,0.9713956605816546,1.6398602522661376,0.3004846187538317,False
zero_cash,conservative,Equal_Weight_Risky,benchmark,,False,max_drawdown;annualized_volatility,False,False,True,True,-0.3056136591486704,-0.1,0.1627739712718562,0.1,0.25,4.0,3.0,0.0,0.05,0.7913205232039137,0.400742544729944,1.1821249668671356,0.1224723954714679,benchmark,,False,max_drawdown;annualized_volatility,False,False,True,True,-0.3056136591486704,-0.1,0.1627739712718562,0.1,0.25,4.0,3.0,0.0,0.05,0.7913205232039137,0.400742544729944,1.1821249668671356,0.1224723954714679,False
zero_cash,conservative,risk_adjusted_momentum_winner_12p_12p,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets;average_turnover,False,False,False,False,-0.4905901606354652,-0.1,0.309098785780903,0.1,1.0,1.0,3.0,0.3596491228070175,0.05,0.5018355888550975,0.2365100068483016,0.6472036645041498,0.1160294822516032,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets;average_turnover,False,False,False,False,-0.4905901606354652,-0.1,0.309098785780903,0.1,1.0,1.0,3.0,0.3596491228070175,0.05,0.5018355888550975,0.2365100068483016,0.6472036645041498,0.1160294822516032,False
zero_cash,conservative,BuyHold_BTC-USD,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets,False,False,False,True,-0.6430152393197859,-0.1,0.5131787191095913,0.1,1.0,1.0,3.0,0.0,0.05,0.4918542301179646,0.2018200052378735,0.3953367308720968,0.1297733389675517,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets,False,False,False,True,-0.6430152393197859,-0.1,0.5131787191095913,0.1,1.0,1.0,3.0,0.0,0.05,0.4918542301179646,0.2018200052378735,0.3953367308720968,0.1297733389675517,False
zero_cash,conservative,BuyHold_TLT,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets,False,False,False,True,-0.3921915115720767,-0.1,0.1516641905461336,0.1,1.0,1.0,3.0,0.0,0.05,-0.5489279650114005,-0.2306366139027145,-0.8013945473501016,-0.090453722230371,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets,False,False,False,True,-0.3921915115720767,-0.1,0.1516641905461336,0.1,1.0,1.0,3.0,0.0,0.05,-0.5489279650114005,-0.2306366139027145,-0.8013945473501016,-0.090453722230371,False
zero_cash,moderate,BuyHold_GLD,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets,False,False,False,True,-0.1734831770796148,-0.15,0.1664043116160493,0.15,1.0,1.0,2.3,0.0,0.1,1.3081884451675567,1.3010381844969388,2.1982624534964055,0.2257082377484229,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets,False,False,False,True,-0.1734831770796148,-0.15,0.1664043116160493,0.15,1.0,1.0,2.3,0.0,0.1,1.3081884451675567,1.3010381844969388,2.1982624534964055,0.2257082377484229,False
