protocol,strategy_name,strategy_type,base_candidate,cap_label,transaction_cost_mode,n_observations,start_date,end_date,frequency,cumulative_return,annualized_return,annualized_volatility,sharpe,sortino,calmar,max_drawdown,average_turnover,total_transaction_cost,mean_transaction_cost,average_max_weight,average_effective_number_of_assets,mean_cash_weight,cash_above_10_rate,mean_btc_weight,mean_cash_transaction_cost_contribution,mean_btc_transaction_cost_contribution,std_sharpe,worst_max_drawdown,dsr_score,median_aligned_seed_dsr_n25,date_averaged_dsr_n25,dsr_method,n_aligned_seeds,seed,aggregation_stage
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,V3_real_macro_vintage_clean_no_dxy,0p70,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.5393715246536139,0.10338595929563921,0.12896659398533375,0.827793784851749,1.217236518218235,0.581827926125075,-0.17769164155488548,0.23051487551749134,0.01078116027420159,4.728579067632276e-05,0.6530669292687403,1.9050123513465673,0.19780623939638386,0.5,0.01620016902042926,0.0,1.701880238689017e-05,0.0,-0.17769164155488548,0.38614022969112444,,0.38614022969112444,aligned_single_history_n25,1,7,metric_computed_before_cross_seed_aggregation
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,V3_real_macro_vintage_clean_no_dxy,0p70,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.15932136250164275,0.03429155987114152,0.08918202158880092,0.42252906953422253,0.5734943219385535,0.15811049945243597,-0.21688350862149652,0.275283520112911,0.012283461355493026,5.387483050654836e-05,0.6496848595433051,2.007151209750853,0.48413082074438846,0.9429824561403509,0.04273683062504194,0.0,2.2729603322854253e-05,0.0,-0.21688350862149652,0.13281966336083023,,0.13281966336083023,aligned_single_history_n25,1,21,metric_computed_before_cross_seed_aggregation
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,V3_real_macro_vintage_clean_no_dxy,0p70,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.8553460179325014,0.15138274792246653,0.11961109369044189,1.239350482912872,2.1544313106783575,0.9757326480206425,-0.1551477735520682,0.36380618576164336,0.019018566448925814,8.341476512686761e-05,0.6522133331306736,2.015105201661771,0.1289511128831168,0.29385964912280704,0.04835636726075433,0.0,3.1003749468609435e-05,0.0,-0.1551477735520682,0.7348383853066631,,0.7348383853066631,aligned_single_history_n25,1,42,metric_computed_before_cross_seed_aggregation
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,V3_real_macro_vintage_clean_no_dxy,0p70,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.6750107346693233,0.12484253923972011,0.09587760012517958,1.2761529666746951,2.117535919097981,1.1223179939934234,-0.11123633400504107,0.22933633949851967,0.012667441593714841,5.5558954358398426e-05,0.6704675048173546,1.9520201117687142,0.5040803115261139,0.8728070175438597,0.061913749443089985,0.0,2.8052601761780944e-05,0.0,-0.11123633400504107,0.7014037458244109,,0.7014037458244109,aligned_single_history_n25,1,84,metric_computed_before_cross_seed_aggregation
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,V3_real_macro_vintage_clean_no_dxy,0p70,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.15423589952909578,0.033255046971242264,0.11857822283590624,0.33500765305846325,0.4131497136288895,0.17966461127783168,-0.1850951433046376,0.25421514817717805,0.014544785280921674,6.379291789877927e-05,0.6710718538535271,1.9262097177406055,0.28014726296899134,0.5219298245614035,0.05051139236301504,0.0,3.316578474205515e-05,0.0,-0.1850951433046376,0.09708220191734968,,0.09708220191734968,aligned_single_history_n25,1,101,metric_computed_before_cross_seed_aggregation
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,V3_real_macro_vintage_clean_no_dxy,0p70,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.28939508944066605,0.05968248733661197,0.14582250189468365,0.4711760632488181,0.5763525808586858,0.2663723927745773,-0.22405658001923423,0.2812090441964764,0.02050823756911332,8.99484103908479e-05,0.6527735591920462,1.9678471893389662,0.16579015236939942,0.5263157894736842,0.08690790651066592,0.0,5.782022391753755e-05,0.0,-0.22405658001923423,0.148720379498269,,0.148720379498269,aligned_single_history_n25,1,123,metric_computed_before_cross_seed_aggregation
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,V3_real_macro_vintage_clean_no_dxy,0p70,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.4181017019257882,0.08292886143660927,0.10032497587362797,0.8445742401279548,1.3252646986576475,0.6956751484249583,-0.11920630142439925,0.29180452596539685,0.017304813752478165,7.589830593192177e-05,0.6559668964353651,1.9764889847133633,0.3319724929756296,0.6403508771929824,0.06463185351026486,0.0,4.335050043098024e-05,0.0,-0.11920630142439925,0.40544436102836684,,0.40544436102836684,aligned_single_history_n25,1,202,metric_computed_before_cross_seed_aggregation
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,V3_real_macro_vintage_clean_no_dxy,0p70,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.3374354558194739,0.068560379032512,0.15094255078227592,0.5157328446164706,0.6196031500744416,0.23125413345197135,-0.2964720154796764,0.2786781089836894,0.014540705362324137,6.377502351896551e-05,0.6608145676089183,1.914430914307156,0.2765136628999515,0.45614035087719296,0.08574200670573359,0.0,2.515961247984044e-05,0.0,-0.2964720154796764,0.16890293921751498,,0.16890293921751498,aligned_single_history_n25,1,303,metric_computed_before_cross_seed_aggregation
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,V3_real_macro_vintage_clean_no_dxy,0p70,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.6003058397930208,0.11319849821369576,0.13490474932291574,0.8626859803947616,1.337431156904916,0.6276925750416633,-0.18034066789173375,0.26858578903075997,0.019363615688472436,8.492813898452823e-05,0.6520284981504684,1.9527000731090003,0.13527445415186784,0.42543859649122806,0.07027011689216497,0.0,4.919451235600398e-05,0.0,-0.18034066789173375,0.4240364081180745,,0.4240364081180745,aligned_single_history_n25,1,404,metric_computed_before_cross_seed_aggregation
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,V3_real_macro_vintage_clean_no_dxy,0p70,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.371107168180294,0.07463727021779554,0.15971171862348932,0.5321368656244987,0.6290592837661861,0.2621649547899251,-0.28469583311622637,0.2939509938534298,0.0180010901836606,7.895214992833597e-05,0.6531488732402949,1.9520266592294693,0.21306662881197133,0.4780701754385965,0.12374677291550502,0.0,3.8155843039107805e-05,0.0,-0.28469583311622637,0.17304208360970263,,0.17304208360970263,aligned_single_history_n25,1,505,metric_computed_before_cross_seed_aggregation
