protocol,strategy_name,strategy_type,base_candidate,cap_label,transaction_cost_mode,n_observations,start_date,end_date,frequency,cumulative_return,annualized_return,annualized_volatility,sharpe,sortino,calmar,max_drawdown,average_turnover,total_transaction_cost,mean_transaction_cost,average_max_weight,average_effective_number_of_assets,mean_cash_weight,cash_above_10_rate,mean_btc_weight,mean_cash_transaction_cost_contribution,mean_btc_transaction_cost_contribution,std_sharpe,worst_max_drawdown,dsr_score,median_aligned_seed_dsr_n25,date_averaged_dsr_n25,dsr_method,n_aligned_seeds,aggregation_method,expected_seed_estimand,seed_dispersion_status
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,V3_real_macro_vintage_clean_no_dxy,0p70,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.439963079444542,0.08461653495374341,0.12439220287226549,0.7327139951044506,1.0963558653823893,0.5100812883352502,-0.19508257989693986,0.2767384531097496,0.015901387750930564,6.974292873215159e-05,0.6571236875240694,1.9568992412966466,0.2717733138727815,0.5657894736842105,0.0651017165246665,0.0,3.4565123390566e-05,0.3163149002634915,-0.2964720154796764,0.27959115665041356,0.27959115665041356,0.44439110209167193,median_dsr_across_full_oos_seed_histories_n25,10,mean_of_metrics_across_ten_full_oos_seed_histories,True,observed_across_ten_full_oos_seed_histories
zero_cash,V4_real_garch_current_cap_0p70,TD3,V4_real_garch_current,0p70,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.23911163741411098,0.047059535641156405,0.10280411044803288,0.5180260605288036,0.7780577058112079,0.36795214187383,-0.1843464354869825,0.4452178812134046,0.024589697471798493,0.00010784955031490568,0.6504030305103979,2.004302828951787,0.37011333210439334,0.7048245614035087,0.07368101486254598,0.0,5.366786304851043e-05,0.3769077157292766,-0.3914256056533859,0.22499305162543423,0.22499305162543423,0.2683364935061234,median_dsr_across_full_oos_seed_histories_n25,10,mean_of_metrics_across_ten_full_oos_seed_histories,True,observed_across_ten_full_oos_seed_histories
zero_cash,V5_no_volatility_block_cap_0p50,TD3,V5_no_volatility_block,0p50,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.25859828617200165,0.0525765436050555,0.1208053719342258,0.5059126924324209,0.7161811237470675,0.2280510051677962,-0.2736497203961881,0.41952524107793254,0.026103251820968086,0.00011448794658319337,0.4934377478474876,2.8006662863090668,0.24155553827371962,0.6890350877192983,0.09719205908823875,0.0,6.1308209902845e-05,0.2399223104075714,-0.4454422845198692,0.2070326524268207,0.2070326524268207,0.22059231648654992,median_dsr_across_full_oos_seed_histories_n25,10,mean_of_metrics_across_ten_full_oos_seed_histories,True,observed_across_ten_full_oos_seed_histories
zero_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,TD3,V7_real_macro_vintage_clean_no_dxy_garch,0p80,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.4781943067393334,0.08612999104700117,0.12734486503333614,0.6809663574928227,1.0854099699868025,0.4726479479472003,-0.21139754829846505,0.30827275527058445,0.014696843671449555,6.445984066425243e-05,0.7292414311385291,1.7006975256449153,0.3415460567250154,0.5565789473684211,0.0581269418467252,0.0,2.3974127127622134e-05,0.4008323013377463,-0.30162555315410544,0.21229828557507802,0.21229828557507802,0.5889816031432386,median_dsr_across_full_oos_seed_histories_n25,10,mean_of_metrics_across_ten_full_oos_seed_histories,True,observed_across_ten_full_oos_seed_histories
zero_cash,V8_ewma_garch_vol_current_cap_uncapped,TD3,V8_ewma_garch_vol_current,uncapped,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.2579953162043174,0.048248478954693676,0.17401530089892564,0.33167020380509826,0.4199520729756645,0.22604162068120903,-0.2825870759872734,0.5303995489340851,0.03733966239360223,0.00016377044909474662,0.8773893414866458,1.31072419329337,0.4134890078325156,0.5394736842105263,0.1679077577403812,0.0,0.00011420584368674196,0.3062343992900931,-0.41362007935239653,0.07700936569968414,0.07700936569968414,0.18556534695911708,median_dsr_across_full_oos_seed_histories_n25,10,mean_of_metrics_across_ten_full_oos_seed_histories,True,observed_across_ten_full_oos_seed_histories
zero_cash,60_40_SPY_TLT,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.1706897429322378,0.0365960183849269,0.1250640395691306,0.3496406498886238,0.4356431213797056,0.1473985162481731,-0.2482794217772905,0.0,0.0,0.0,0.5999999999999998,1.9230769230769231,0.0,0.0,0.0,0.0,0.0,,-0.2482794217772905,0.1029155098073227,,0.1029155098073227,aligned_single_history_n25,1,single_deterministic_aligned_history,,not_observed_neutral_not_zero_in_stability_component
zero_cash,BuyHold_BTC-USD,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.7074443774278996,0.1297733389675517,0.5131787191095913,0.4918542301179646,0.3953367308720968,0.2018200052378735,-0.6430152393197859,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,-0.6430152393197859,0.1685161342431157,,0.1685161342431157,aligned_single_history_n25,1,single_deterministic_aligned_history,,not_observed_neutral_not_zero_in_stability_component
zero_cash,BuyHold_GLD,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,1.4408633139757354,0.2257082377484229,0.1664043116160493,1.3081884451675567,2.1982624534964055,1.3010381844969388,-0.1734831770796148,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,-0.1734831770796148,0.7460632557929164,,0.7460632557929164,aligned_single_history_n25,1,single_deterministic_aligned_history,,not_observed_neutral_not_zero_in_stability_component
zero_cash,BuyHold_SPY,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.6497481321827132,0.1209506174024004,0.1681668290824719,0.7634141117043921,1.096043735503628,0.5380491913795269,-0.2247947201487099,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,-0.2247947201487099,0.338263187702817,,0.338263187702817,aligned_single_history_n25,1,single_deterministic_aligned_history,,not_observed_neutral_not_zero_in_stability_component
zero_cash,BuyHold_TLT,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,-0.3401236119888653,-0.090453722230371,0.1516641905461336,-0.5489279650114005,-0.8013945473501016,-0.2306366139027145,-0.3921915115720767,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,-0.3921915115720767,0.00084321222468,,0.00084321222468,aligned_single_history_n25,1,single_deterministic_aligned_history,,not_observed_neutral_not_zero_in_stability_component
