protocol,strategy_name,seed,date,financial_net_return
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-01-06,0.017326938878198
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-01-13,0.030090312406754
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-01-20,0.0029576177233761
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-01-27,0.0188603540927
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-02-03,0.0094699701723642
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-02-10,-0.0078725127463556
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-02-17,-0.002845559798341
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-02-24,-0.0241192899605975
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-03-03,0.0213641735379719
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-03-10,-0.0262950006287897
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-03-17,0.0341827545173646
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-03-24,0.0103885492075923
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-03-31,0.0254648966884747
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-04-07,0.002653384219864
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-04-14,0.0087758446839799
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-04-21,-0.0069095791788343
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-04-28,0.010699933520635
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-05-05,-0.0032867874990707
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-05-12,-0.0073558643501284
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-05-19,0.0079752712574513
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-05-26,-0.0007040865762225
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-06-02,0.0145703091042882
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-06-09,0.0045942595550333
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-06-16,0.0176064298346335
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-06-23,-0.0156825371539628
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-06-30,0.0155925948249658
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-07-07,-0.0075898944727239
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-07-14,0.0211457766760417
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-07-21,0.0053267731265346
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-07-28,0.0065869809342362
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-08-04,-0.0185787666144368
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-08-11,-0.0045503337909347
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-08-18,-0.0180979553481858
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-08-25,0.0093183950064154
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-09-01,0.0209203741883198
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-09-08,-0.0117614894883198
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-09-15,-0.000457911686356
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-09-22,-0.0202043538063476
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-09-29,-0.0170851269745303
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-10-06,0.000542938017771
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-10-13,0.0066568550519721
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-10-20,-0.0087114568051042
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-10-27,-0.0067969819976352
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-11-03,0.0438046907825226
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-11-10,0.000467202592926
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-11-17,0.0225314517199629
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-11-24,0.0099197661950827
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-12-01,0.0205314786448132
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-12-08,-0.0110356493982544
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-12-15,0.0142653033116105
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-12-22,0.01227762466225
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2023-12-29,0.0029205531242696
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2024-01-05,-0.0187534806376624
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2024-01-12,0.0022385492793284
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,7,2024-01-19,-0.0168940758948664
