protocol,strategy_name,strategy_type,date,portfolio_return,financial_net_return,turnover,transaction_cost,weight_SPY,weight_TLT,weight_GLD,weight_BTC-USD,weight_CASH,asset_turnover_SPY,asset_turnover_TLT,asset_turnover_GLD,asset_turnover_BTC-USD,asset_turnover_CASH,asset_transaction_cost_contribution_SPY,asset_transaction_cost_contribution_TLT,asset_transaction_cost_contribution_GLD,asset_transaction_cost_contribution_BTC-USD,asset_transaction_cost_contribution_CASH,diagnostic_max_weight,diagnostic_effective_assets,portfolio_value,drawdown,transaction_cost_mode,gross_return,net_return
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,2022-01-07,-0.02858023379695126,-0.028892566379543398,1.001816932519101,0.00031233258259209996,0.44177924028979876,0.03593100544323933,0.08318621753370667,0.16899948190996208,0.270104054823293,0.29231098921446363,0.1640689945567606,0.13243474501199035,0.19456963683549547,0.21843256690039073,5.846219784289274e-05,3.281379891135213e-05,2.6486949002398075e-05,0.00019456963683545816,0.0,0.6218637938281792,2.094437971113071,97110.74336204566,0.0,asset_specific,,
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,2022-01-14,0.0025312813729522856,0.0023837640091254548,0.4269721834347256,0.00014751736382682295,0.4256791391156506,0.06614911542831037,0.11276726406501765,0.0691717340130363,0.32623274737798497,0.10682481522081673,0.04776010053355991,0.07261066705456608,0.10207824726505117,0.09769835336073154,2.136496304416335e-05,9.552020106711988e-06,1.4522133410913224e-05,0.00010207824726503261,0.0,0.6420641196099592,2.020291087633429,97342.23245697153,0.0,asset_specific,,
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,2022-01-21,-0.04065265243994802,-0.04071899023138591,0.27103873779192933,6.633779143787503e-05,0.47840070417080893,0.06575990666981706,0.07609961315287857,0.0938929987086815,0.28584677729781377,0.09478803929678974,0.01843174153859145,0.06053627049704835,0.03158658117139308,0.06569610528810654,1.8957607859357956e-05,3.6863483077182973e-06,1.2107254099409677e-05,3.15865811713866e-05,0.0,0.6329530791103479,2.1250081778201904,93378.55504445481,-0.04071899023138581,asset_specific,,
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,2022-01-28,0.0015594626357132598,0.0014673243599385003,0.40535309580085316,9.213827577476326e-05,0.3274356197885177,0.0944988674972708,0.16286969905487642,0.07469464488118001,0.340501168778155,0.16035444170121058,0.058448712852920914,0.09990904436143759,0.02839583599165884,0.058245060893625064,3.2070888340241336e-05,1.1689742570584191e-05,1.9981808872280432e-05,2.839583599165887e-05,0.0,0.6108626240557153,2.086929547303759,93515.57167296742,-0.03931141383772574,asset_specific,,
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,2022-02-04,0.012784129694388361,0.01269852659151377,0.29989391948848876,8.560310287459773e-05,0.3664685804446934,0.06946267887466558,0.15640997766507553,0.07569074264296746,0.3319680203725979,0.05535521119416405,0.04781512531301261,0.06024017346879047,0.05292100087940701,0.08356240863311448,1.1071042238832814e-05,9.563025062602533e-06,1.20480346937581e-05,5.292100087940163e-05,0.0,0.6324016309932375,2.0735017225453567,94703.08164657721,-0.027112084280180304,asset_specific,,
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,2022-02-11,-0.00259442716847033,-0.00265784405098828,0.23692549368756066,6.341688251792489e-05,0.38887003069774495,0.06293574229926795,0.10040344009165554,0.08911175021872564,0.3586790366926058,0.029156666046264285,0.036840699392862775,0.07431327653112016,0.03535475412389815,0.06126009759341515,5.831333209252864e-06,7.368139878572564e-06,1.4862655306224038e-05,3.535475412389499e-05,0.0,0.6258222917199542,2.052410121493427,94451.3756244126,-0.02969786863925461,asset_specific,,
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,2022-02-18,-0.00839170392424279,-0.00845436286952483,0.2603842552925023,6.265894528203163e-05,0.34354177991459467,0.10186055618048054,0.07521118195054799,0.08831625807949736,0.39107022387487933,0.05672820296886207,0.054608458613378597,0.032661907583207014,0.0338592314489542,0.0825264546781003,1.1345640593772422e-05,1.0921691722675723e-05,6.532381516641412e-06,3.385923144895425e-05,0.0,0.6099955606400638,2.1017392343783583,93652.84942135803,-0.03790115495085167,asset_specific,,
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,2022-02-25,-0.00061462572430532,-0.0006369317393007599,0.08420523230691233,2.2306014995429418e-05,0.31800464246828875,0.10939682877722823,0.07752210823697911,0.09148979765775303,0.4035866228597508,0.027127886603723856,0.011391041349427899,0.012783508167479616,0.012045527771303095,0.020857268414977766,5.4255773207447775e-06,2.2782082698855872e-06,2.5567016334959318e-06,1.2045527771303122e-05,0.0,0.6319364788181442,2.066605645617913,93593.19894908559,-0.0385139462416082,asset_specific,,
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,2022-03-04,0.0038836157188167596,0.00382079609671383,0.31201090411652904,6.281962210289368e-05,0.33355507664293915,0.0797864608686409,0.15464753506714432,0.09354886343561603,0.3384620639856594,0.06475448623348987,0.04015759606249213,0.09284247306797808,0.023268711030113923,0.09098763772245491,1.295089724669798e-05,8.031519212498436e-06,1.856849461358858e-05,2.3268711030113956e-05,0.0,0.6129398772493462,2.0482957905317685,93950.79947830921,-0.03484030408036343,asset_specific,,
zero_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,2022-03-11,-0.01122590452972258,-0.01133109437473619,0.6002416897970816,0.00010518984501358051,0.24240320437604895,0.1114551599505087,0.09044859907592573,0.10250912783850932,0.45318390875900716,0.15508063896870644,0.09291983642328526,0.1324606919763189,0.02909761153994688,0.190682910888824,3.1016127793740206e-05,1.8583967284657064e-05,2.6492138395255796e-05,2.9097611539946937e-05,0.0,0.6234176391090045,2.1202514606355263,92886.23410283859,-0.04577661968152047,asset_specific,,
