protocol,profile,overall_winner,overall_winner_type,overall_winner_score,best_td3_candidate,best_td3_score,best_benchmark,best_benchmark_score,td3_beats_best_benchmark,v3_clean_no_dxy_rank,v3_clean_no_dxy_score,v3_clean_no_dxy_is_best_td3,v7_clean_no_dxy_garch_rank,v7_clean_no_dxy_garch_score,v7_clean_no_dxy_garch_is_best_td3,v5_asset_specific_rank,v5_asset_specific_score,v5_asset_specific_is_best_td3,v3_clean_asset_specific_rank,v3_clean_asset_specific_score,v3_clean_asset_specific_is_best_td3,aggressive_admits_higher_return_less_conservative
zero_cash,conservative,rolling_markowitz_min_variance_52p,benchmark,0.20785370151558835,V3_real_macro_vintage_clean_no_dxy_cap_0p70,0.026205980147480594,rolling_markowitz_min_variance_52p,0.20785370151558835,False,,,False,,,False,13.0,0.015238364082930752,False,10.0,0.026205980147480594,True,False
zero_cash,moderate,rolling_markowitz_min_variance_52p,benchmark,0.36875951087057307,V3_real_macro_vintage_clean_no_dxy_cap_0p70,0.1275581582206422,rolling_markowitz_min_variance_52p,0.36875951087057307,False,,,False,,,False,14.0,0.05915694507182006,False,10.0,0.1275581582206422,True,False
zero_cash,aggressive,rolling_markowitz_long_only_52p,benchmark,0.8651860655429607,V3_real_macro_vintage_clean_no_dxy_cap_0p70,0.3899642887763732,rolling_markowitz_long_only_52p,0.8651860655429607,False,,,False,,,False,14.0,0.19718981690606688,False,9.0,0.3899642887763732,True,True
bil_cash,conservative,rolling_markowitz_min_variance_52p,benchmark,0.20464982975847357,V3_real_macro_vintage_clean_no_dxy_cap_0p70,0.02872917904498546,rolling_markowitz_min_variance_52p,0.20464982975847357,False,,,False,,,False,,,False,11.0,0.02872917904498546,True,False
bil_cash,moderate,rolling_markowitz_min_variance_52p,benchmark,0.36160431206410576,V3_real_macro_vintage_clean_no_dxy_cap_0p70,0.12671535970284217,rolling_markowitz_min_variance_52p,0.36160431206410576,False,,,False,,,False,,,False,11.0,0.12671535970284217,True,False
bil_cash,aggressive,rolling_markowitz_long_only_52p,benchmark,0.8463828766839864,V3_real_macro_vintage_clean_no_dxy_cap_0p70,0.41071633131695456,rolling_markowitz_long_only_52p,0.8463828766839864,False,,,False,,,False,,,False,7.0,0.41071633131695456,True,True
