protocol,profile,strategy_name,strategy_type,strategy_group,feasible,failed_constraints,max_drawdown_pass,annualized_volatility_pass,average_effective_number_of_assets_pass,average_turnover_pass,max_drawdown,max_drawdown_limit,annualized_volatility,max_annualized_volatility_limit,average_max_weight,average_effective_number_of_assets,min_effective_assets_limit,average_turnover,max_average_turnover_limit,sharpe,calmar,sortino,annualized_return,profile_rank
zero_cash,aggressive,rolling_markowitz_long_only_52p,benchmark,,True,,True,True,True,True,-0.2106307713462841,-0.25,0.2245106918365903,0.25,0.5909031263913668,1.9620233202532145,1.5,0.1038355667511928,0.2,1.1988242479757492,1.3112690117028711,2.212123727738206,0.2761936033774554,1
zero_cash,aggressive,rolling_markowitz_min_variance_52p,benchmark,,True,,True,True,True,True,-0.2308584938745816,-0.25,0.1043954327541812,0.25,0.4779682729197295,2.647942470859379,1.5,0.0378109996137178,0.2,0.8064203650326056,0.3547726501232396,1.2637392644952323,0.081902279675345,2
zero_cash,aggressive,60_40_SPY_TLT,benchmark,,True,,True,True,True,True,-0.2482794217772905,-0.25,0.1250640395691306,0.25,0.5999999999999998,1.9230769230769231,1.5,0.0,0.2,0.3496406498886238,0.1473985162481731,0.4356431213797056,0.0365960183849269,3
bil_cash,aggressive,rolling_markowitz_long_only_52p,benchmark,,True,,True,True,True,True,-0.2106307529911757,-0.25,0.2241712232198908,0.25,0.5909031333470443,1.9620232159854076,1.5,0.103835527210852,0.2,1.2195652401357844,1.3373607560626246,2.2639509476591826,0.2816893030703187,1
bil_cash,aggressive,rolling_markowitz_min_variance_52p,benchmark,,True,,True,True,True,True,-0.2308587567687334,-0.25,0.1039724348932699,0.25,0.4779684111712217,2.6479422882322448,1.5,0.037811013321419,0.2,0.8418310211156397,0.370636746968185,1.3324762995380712,0.0855647386178828,2
bil_cash,aggressive,60_40_SPY_TLT,benchmark,,True,,True,True,True,True,-0.248279353013473,-0.25,0.1249610081510866,0.25,0.5999999999999998,1.9230769230769231,1.5,0.0,0.2,0.3739768167772648,0.160006947172636,0.4736713406648031,0.039726421321683,3
