protocol,profile,strategy_name,strategy_type,strategy_group,base_candidate,feature_family,constraint_status,robust_score,original_mandate_aware_score,profile_score,profile_multiplier,profile_eligible,failed_constraints,annualized_return,annualized_volatility,sharpe,max_drawdown,average_turnover,average_effective_number_of_assets,average_max_weight,max_drawdown_limit,max_annualized_volatility_limit,min_effective_assets,max_average_turnover_limit,drawdown_pass,volatility_pass,effective_assets_pass,turnover_pass,drawdown_multiplier,volatility_multiplier,effective_assets_multiplier,turnover_multiplier,profile_rank,profile_eligible_rank
zero_cash,aggressive,rolling_markowitz_long_only_52p,benchmark,,,,,0.8651860655429607,0.6343247629632093,0.8651860655429607,1.0,True,,0.2761936033774554,0.2245106918365903,1.1988242479757492,-0.2106307713462841,0.1038355667511928,1.9620233202532145,0.5909031263913668,-0.25,0.25,1.5,0.2,True,True,True,True,1.0,1.0,1.0,1.0,1,1.0
zero_cash,aggressive,BuyHold_GLD,benchmark,,,,,0.8724901111488644,0.6893572912773549,0.5816600740992429,0.6666666666666666,False,effective_assets,0.2257082377484229,0.1664043116160493,1.3081884451675567,-0.1734831770796148,0.0,1.0,1.0,-0.25,0.25,1.5,0.2,True,True,False,True,1.0,1.0,0.6666666666666666,1.0,2,
zero_cash,aggressive,rolling_markowitz_min_variance_52p,benchmark,,,,,0.567541768543386,0.3971936117303825,0.567541768543386,1.0,True,,0.081902279675345,0.1043954327541812,0.8064203650326056,-0.2308584938745816,0.0378109996137178,2.647942470859379,0.4779682729197295,-0.25,0.25,1.5,0.2,True,True,True,True,1.0,1.0,1.0,1.0,3,2.0
zero_cash,aggressive,Equal_Weight,benchmark,,,,,0.5302576816556425,0.35227987343440254,0.5275198530110143,0.9948367958836924,False,drawdown,0.0991563667059947,0.1302191770174849,0.7913205232039142,-0.2512975002879043,0.0,4.999999999999999,0.2,-0.25,0.25,1.5,0.2,False,True,True,True,0.9948367958836924,1.0,1.0,1.0,4,
zero_cash,aggressive,rolling_risk_parity_inverse_vol_12p,benchmark,,,,,0.5400337680629098,0.3403039651996994,0.500047192451934,0.9259554161688687,False,drawdown,0.0870721448064411,0.1123861908810632,0.7993464897270386,-0.269991400919034,0.065611942559803,3.350499299521307,0.3811193362167304,-0.25,0.25,1.5,0.2,False,True,True,True,0.9259554161688687,1.0,1.0,1.0,5,
zero_cash,aggressive,Equal_Weight_Risky,benchmark,,,,,0.5347632357178977,0.0,0.4374503721525042,0.8180262645865043,False,drawdown,0.1224723954714679,0.1627739712718562,0.7913205232039137,-0.3056136591486704,0.0,4.0,0.25,-0.25,0.25,1.5,0.2,False,True,True,True,0.8180262645865043,1.0,1.0,1.0,6,
zero_cash,aggressive,60_40_SPY_TLT,benchmark,,,,,0.3941338837471878,0.26395874208624154,0.3941338837471878,1.0,True,,0.0365960183849269,0.1250640395691306,0.3496406498886238,-0.2482794217772905,0.0,1.9230769230769231,0.5999999999999998,-0.25,0.25,1.5,0.2,True,True,True,True,1.0,1.0,1.0,1.0,7,3.0
zero_cash,aggressive,trend_spy_cash_12p,benchmark,,,,,0.5855999769023156,0.47190223736860254,0.3903999846015437,0.6666666666666666,False,effective_assets,0.0854594424902874,0.1074537825814774,0.8174290189188304,-0.1625884610537178,0.175438596491228,1.0,1.0,-0.25,0.25,1.5,0.2,True,True,False,True,1.0,1.0,0.6666666666666666,1.0,8,
zero_cash,aggressive,V3_real_macro_vintage_clean_no_dxy_cap_0p70,td3,,V3_real_macro_vintage_clean_no_dxy,,,0.5395905702200859,0.40881352664073667,0.3899642887763732,0.7227040469171212,False,turnover,0.08461653495374341,0.12439220287226549,0.7327139951044506,-0.19508257989693986,0.2767384531097496,1.9568992412966466,0.6571236875240694,-0.25,0.25,1.5,0.2,True,True,True,False,1.0,1.0,1.0,0.7227040469171212,9,
zero_cash,aggressive,BuyHold_SPY,benchmark,,,,,0.5588067192979865,0.3967634472166779,0.37253781286532434,0.6666666666666666,False,effective_assets,0.1209506174024004,0.1681668290824719,0.7634141117043921,-0.2247947201487099,0.0,1.0,1.0,-0.25,0.25,1.5,0.2,True,True,False,True,1.0,1.0,0.6666666666666666,1.0,10,
