protocol,profile,strategy_name,strategy_type,strategy_group,feasible,failed_constraints,max_drawdown_pass,annualized_volatility_pass,average_effective_number_of_assets_pass,average_turnover_pass,max_drawdown,max_drawdown_limit,annualized_volatility,max_annualized_volatility_limit,average_max_weight,average_effective_number_of_assets,min_effective_assets_limit,average_turnover,max_average_turnover_limit,sharpe,calmar,sortino,annualized_return
zero_cash,aggressive,rolling_markowitz_long_only_52p,benchmark,,True,,True,True,True,True,-0.2106307713462841,-0.25,0.2245106918365903,0.25,0.5909031263913668,1.9620233202532145,1.5,0.1038355667511928,0.2,1.1988242479757492,1.3112690117028711,2.212123727738206,0.2761936033774554
zero_cash,aggressive,trend_spy_cash_12p,benchmark,,False,average_effective_number_of_assets,True,True,False,True,-0.1625884610537178,-0.25,0.1074537825814774,0.25,1.0,1.0,1.5,0.175438596491228,0.2,0.8174290189188304,0.5256181277344917,1.160329015809752,0.0854594424902874
zero_cash,aggressive,V3_real_macro_vintage_clean_no_dxy_cap_0p70,td3,,False,average_turnover,True,True,True,False,-0.19508257989693986,-0.25,0.12439220287226549,0.25,0.6571236875240694,1.9568992412966466,1.5,0.2767384531097496,0.2,0.7327139951044506,0.5100812883352502,1.0963558653823893,0.08461653495374341
zero_cash,aggressive,rolling_markowitz_min_variance_52p,benchmark,,True,,True,True,True,True,-0.2308584938745816,-0.25,0.1043954327541812,0.25,0.4779682729197295,2.647942470859379,1.5,0.0378109996137178,0.2,0.8064203650326056,0.3547726501232396,1.2637392644952323,0.081902279675345
zero_cash,aggressive,BuyHold_SPY,benchmark,,False,average_effective_number_of_assets,True,True,False,True,-0.2247947201487099,-0.25,0.1681668290824719,0.25,1.0,1.0,1.5,0.0,0.2,0.7634141117043921,0.5380491913795269,1.096043735503628,0.1209506174024004
zero_cash,aggressive,defensive_risk_off_12p,benchmark,,False,average_effective_number_of_assets;average_turnover,True,True,False,False,-0.1883538534464882,-0.25,0.1423163741026759,0.25,1.0,1.0,1.5,0.2456140350877192,0.2,0.6507149699585638,0.4558135085018843,0.8468444327843481,0.0858542307792935
zero_cash,aggressive,Equal_Weight,benchmark,,False,max_drawdown,False,True,True,True,-0.2512975002879043,-0.25,0.1302191770174849,0.25,0.2,4.999999999999999,1.5,0.0,0.2,0.7913205232039142,0.3945776085810408,1.1963432275469057,0.0991563667059947
zero_cash,aggressive,V4_real_garch_current_cap_0p70,td3,,False,average_turnover,True,True,True,False,-0.1843464354869825,-0.25,0.10280411044803288,0.25,0.6504030305103979,2.004302828951787,1.5,0.4452178812134046,0.2,0.5180260605288036,0.36795214187383,0.7780577058112079,0.047059535641156405
zero_cash,aggressive,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,td3,,False,average_turnover,True,True,True,False,-0.21139754829846505,-0.25,0.12734486503333614,0.25,0.7292414311385291,1.7006975256449153,1.5,0.30827275527058445,0.2,0.6809663574928227,0.4726479479472003,1.0854099699868025,0.08612999104700117
zero_cash,aggressive,rolling_risk_parity_inverse_vol_12p,benchmark,,False,max_drawdown,False,True,True,True,-0.269991400919034,-0.25,0.1123861908810632,0.25,0.3811193362167304,3.350499299521307,1.5,0.065611942559803,0.2,0.7993464897270386,0.3224996963238565,1.202231112672235,0.0870721448064411
zero_cash,aggressive,V5_no_volatility_block_cap_0p50,td3,,False,max_drawdown;average_turnover,False,True,True,False,-0.2736497203961881,-0.25,0.1208053719342258,0.25,0.4934377478474876,2.8006662863090668,1.5,0.41952524107793254,0.2,0.5059126924324209,0.2280510051677962,0.7161811237470675,0.0525765436050555
zero_cash,aggressive,60_40_SPY_TLT,benchmark,,True,,True,True,True,True,-0.2482794217772905,-0.25,0.1250640395691306,0.25,0.5999999999999998,1.9230769230769231,1.5,0.0,0.2,0.3496406498886238,0.1473985162481731,0.4356431213797056,0.0365960183849269
zero_cash,aggressive,V8_ewma_garch_vol_current_cap_uncapped,td3,,False,max_drawdown;average_effective_number_of_assets;average_turnover,False,True,False,False,-0.2825870759872734,-0.25,0.17401530089892564,0.25,0.8773893414866458,1.31072419329337,1.5,0.5303995489340851,0.2,0.33167020380509826,0.22604162068120903,0.4199520729756645,0.048248478954693676
zero_cash,aggressive,momentum_winner_12p,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets;average_turnover,False,False,False,False,-0.3093328814892037,-0.25,0.3614291915419867,0.25,1.0,1.0,1.5,0.4561403508771929,0.2,0.8971611533196885,0.9713956605816546,1.6398602522661376,0.3004846187538317
zero_cash,aggressive,Equal_Weight_Risky,benchmark,,False,max_drawdown,False,True,True,True,-0.3056136591486704,-0.25,0.1627739712718562,0.25,0.25,4.0,1.5,0.0,0.2,0.7913205232039137,0.400742544729944,1.1821249668671356,0.1224723954714679
zero_cash,aggressive,risk_adjusted_momentum_winner_12p_12p,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets;average_turnover,False,False,False,False,-0.4905901606354652,-0.25,0.309098785780903,0.25,1.0,1.0,1.5,0.3596491228070175,0.2,0.5018355888550975,0.2365100068483016,0.6472036645041498,0.1160294822516032
zero_cash,aggressive,BuyHold_BTC-USD,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets,False,False,False,True,-0.6430152393197859,-0.25,0.5131787191095913,0.25,1.0,1.0,1.5,0.0,0.2,0.4918542301179646,0.2018200052378735,0.3953367308720968,0.1297733389675517
zero_cash,aggressive,BuyHold_TLT,benchmark,,False,max_drawdown;average_effective_number_of_assets,False,True,False,True,-0.3921915115720767,-0.25,0.1516641905461336,0.25,1.0,1.0,1.5,0.0,0.2,-0.5489279650114005,-0.2306366139027145,-0.8013945473501016,-0.090453722230371
bil_cash,conservative,BuyHold_GLD,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets,False,False,False,True,-0.1734831770796148,-0.1,0.1654320005729825,0.1,1.0,1.0,3.0,0.0,0.05,1.3474054884786069,1.3389979519584156,2.2927257862918013,0.2322936188088433
bil_cash,conservative,rolling_markowitz_long_only_52p,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets;average_turnover,False,False,False,False,-0.2106307529911757,-0.1,0.2241712232198908,0.1,0.5909031333470443,1.9620232159854076,3.0,0.103835527210852,0.05,1.2195652401357844,1.3373607560626246,2.2639509476591826,0.2816893030703187
bil_cash,conservative,trend_spy_cash_12p,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets;average_turnover,False,False,False,False,-0.1572678836058595,-0.1,0.1075136622288839,0.1,1.0,1.0,3.0,0.175438596491228,0.05,0.9032336086219156,0.6075481621453481,1.2965089844125814,0.0955478136492284
bil_cash,conservative,rolling_markowitz_min_variance_52p,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets,False,False,False,True,-0.2308587567687334,-0.1,0.1039724348932699,0.1,0.4779684111712217,2.6479422882322448,3.0,0.037811013321419,0.05,0.8418310211156397,0.370636746968185,1.3324762995380712,0.0855647386178828
bil_cash,conservative,BuyHold_SPY,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets,False,False,False,True,-0.2247945431293709,-0.1,0.1682616180460695,0.1,1.0,1.0,3.0,0.0,0.05,0.7795225030534743,0.5518324552358324,1.1241206757090594,0.1240489246586979
bil_cash,conservative,defensive_risk_off_12p,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets;average_turnover,False,False,False,False,-0.1933586274362503,-0.1,0.1404246813239968,0.1,1.0,1.0,3.0,0.2368421052631578,0.05,0.6999200502562037,0.47746403946483,0.927601739354536,0.0923217913210872
bil_cash,conservative,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,td3,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets;average_turnover,False,False,False,False,-0.22371182261577208,-0.1,0.14658148536191717,0.1,0.7279863523074546,1.6952182753647418,3.0,0.29206893752315805,0.05,0.7548847133758281,0.6535773910140862,1.2317551130960722,0.0935975479630169
bil_cash,conservative,V3_real_macro_vintage_clean_no_dxy_cap_0p70,td3,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets;average_turnover,False,False,False,False,-0.2080002928989754,-0.1,0.11271750611312423,0.1,0.6489820179189589,1.9679669826779054,3.0,0.24186329432606518,0.05,0.6822958217641761,0.4628945240371757,1.0684268673704067,0.06887660051656734
bil_cash,conservative,Equal_Weight,benchmark,,False,max_drawdown;annualized_volatility,False,False,True,True,-0.2502947673645993,-0.1,0.1300632895424597,0.1,0.2,4.999999999999999,3.0,0.0,0.05,0.8767629381289029,0.4446844850564,1.354985270907359,0.1113021997378382
bil_cash,conservative,risk_adjusted_momentum_winner_12p_12p,benchmark,,False,average_effective_number_of_assets,True,True,False,True,-0.0903335946859553,-0.1,0.0465899265861962,0.1,1.0,1.0,3.0,0.0350877192982456,0.05,0.3643147207623331,0.1771422293434176,0.4128191554705355,0.0160018943472748
bil_cash,conservative,V4_real_garch_current_cap_0p80,td3,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets;average_turnover,False,False,False,False,-0.2217520382317879,-0.1,0.12132762522533261,0.1,0.7186073594008724,1.7235638490320135,3.0,0.3461294784952904,0.05,0.5796987029534358,0.31621287428421685,0.8707806951683541,0.05744237112990662
bil_cash,conservative,rolling_risk_parity_inverse_vol_12p,benchmark,,False,max_drawdown;annualized_volatility;average_turnover,False,False,True,False,-0.2699913295959265,-0.1,0.1119228345107243,0.1,0.3811191436729786,3.3505000715776703,3.0,0.0656118475912953,0.05,0.8367550757865162,0.3380800229359376,1.271267206891117,0.0912786749022951
bil_cash,conservative,V8_ewma_garch_vol_current_cap_0p70,td3,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets;average_turnover,False,False,False,False,-0.2458568228144319,-0.1,0.12193597375898528,0.1,0.641685471426198,2.0015235185512474,3.0,0.34201653227950174,0.05,0.6544986918410602,0.43663344949819294,1.0098626467365939,0.06444312449802034
bil_cash,conservative,60_40_SPY_TLT,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets,False,False,False,True,-0.248279353013473,-0.1,0.1249610081510866,0.1,0.5999999999999998,1.9230769230769231,3.0,0.0,0.05,0.3739768167772648,0.160006947172636,0.4736713406648031,0.039726421321683
bil_cash,conservative,momentum_winner_12p,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets;average_turnover,False,False,False,False,-0.3097942670536373,-0.1,0.3605680539994521,0.1,1.0,1.0,3.0,0.4298245614035088,0.05,0.9426637496448051,1.0370090899804274,1.7642539893303617,0.321259470958446
bil_cash,conservative,Equal_Weight_Risky,benchmark,,False,max_drawdown;annualized_volatility,False,False,True,True,-0.3056136113726518,-0.1,0.1624407599572301,0.1,0.25,4.0,3.0,0.0,0.05,0.8190831900245825,0.416532743161521,1.2336854179398469,0.1272980758925497
bil_cash,conservative,V5_no_volatility_block_cap_0p70,td3,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets;average_turnover,False,False,False,False,-0.3115491595663437,-0.1,0.12985712356100038,0.1,0.654966061108261,1.9487941368545303,3.0,0.3345648100143657,0.05,0.48589112749418356,0.21674606211063127,0.6541451543630137,0.05398910917962425
bil_cash,conservative,BuyHold_BTC-USD,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets,False,False,False,True,-0.6430152393197859,-0.1,0.5131067754295661,0.1,1.0,1.0,3.0,0.0,0.05,0.5029295440009841,0.2117870810219775,0.4149466612676246,0.1361823205881858
bil_cash,conservative,BuyHold_TLT,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets,False,False,False,True,-0.392191429079702,-0.1,0.1512384330258224,0.1,1.0,1.0,3.0,0.0,0.05,-0.5283992618658764,-0.2227162672003445,-0.7781254334686712,-0.0873474111125999
bil_cash,moderate,BuyHold_GLD,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets,False,False,False,True,-0.1734831770796148,-0.15,0.1654320005729825,0.15,1.0,1.0,2.3,0.0,0.1,1.3474054884786069,1.3389979519584156,2.2927257862918013,0.2322936188088433
bil_cash,moderate,rolling_markowitz_long_only_52p,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets;average_turnover,False,False,False,False,-0.2106307529911757,-0.15,0.2241712232198908,0.15,0.5909031333470443,1.9620232159854076,2.3,0.103835527210852,0.1,1.2195652401357844,1.3373607560626246,2.2639509476591826,0.2816893030703187
bil_cash,moderate,trend_spy_cash_12p,benchmark,,False,max_drawdown;average_effective_number_of_assets;average_turnover,False,True,False,False,-0.1572678836058595,-0.15,0.1075136622288839,0.15,1.0,1.0,2.3,0.175438596491228,0.1,0.9032336086219156,0.6075481621453481,1.2965089844125814,0.0955478136492284
bil_cash,moderate,rolling_markowitz_min_variance_52p,benchmark,,False,max_drawdown,False,True,True,True,-0.2308587567687334,-0.15,0.1039724348932699,0.15,0.4779684111712217,2.6479422882322448,2.3,0.037811013321419,0.1,0.8418310211156397,0.370636746968185,1.3324762995380712,0.0855647386178828
bil_cash,moderate,BuyHold_SPY,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets,False,False,False,True,-0.2247945431293709,-0.15,0.1682616180460695,0.15,1.0,1.0,2.3,0.0,0.1,0.7795225030534743,0.5518324552358324,1.1241206757090594,0.1240489246586979
bil_cash,moderate,defensive_risk_off_12p,benchmark,,False,max_drawdown;average_effective_number_of_assets;average_turnover,False,True,False,False,-0.1933586274362503,-0.15,0.1404246813239968,0.15,1.0,1.0,2.3,0.2368421052631578,0.1,0.6999200502562037,0.47746403946483,0.927601739354536,0.0923217913210872
bil_cash,moderate,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,td3,,False,max_drawdown;average_effective_number_of_assets;average_turnover,False,True,False,False,-0.22371182261577208,-0.15,0.14658148536191717,0.15,0.7279863523074546,1.6952182753647418,2.3,0.29206893752315805,0.1,0.7548847133758281,0.6535773910140862,1.2317551130960722,0.0935975479630169
bil_cash,moderate,V3_real_macro_vintage_clean_no_dxy_cap_0p70,td3,,False,max_drawdown;average_effective_number_of_assets;average_turnover,False,True,False,False,-0.2080002928989754,-0.15,0.11271750611312423,0.15,0.6489820179189589,1.9679669826779054,2.3,0.24186329432606518,0.1,0.6822958217641761,0.4628945240371757,1.0684268673704067,0.06887660051656734
bil_cash,moderate,Equal_Weight,benchmark,,False,max_drawdown,False,True,True,True,-0.2502947673645993,-0.15,0.1300632895424597,0.15,0.2,4.999999999999999,2.3,0.0,0.1,0.8767629381289029,0.4446844850564,1.354985270907359,0.1113021997378382
